word, count, percent, cum
s, 12591, 11.06, 11.06
c, 10385, 9.12, 20.19
p, 8693, 7.64, 27.83
r, 7141, 6.27, 34.10
b, 6848, 6.02, 40.12
a, 6557, 5.76, 45.88
d, 6436, 5.66, 51.53
m, 6270, 5.51, 57.04
t, 5951, 5.23, 62.27
f, 4937, 4.34, 66.61
e, 4364, 3.83, 70.45
h, 4080, 3.58, 74.03
i, 4013, 3.53, 77.56
o, 3978, 3.50, 81.05
g, 3950, 3.47, 84.52
l, 3710, 3.26, 87.78
u, 2934, 2.58, 90.36
w, 2927, 2.57, 92.93
n, 2208, 1.94, 94.87
v, 1932, 1.70, 96.57
k, 1312, 1.15, 97.72
j, 1106, 0.97, 98.69
q, 568, 0.50, 99.19
y, 438, 0.38, 99.58
z, 398, 0.35, 99.93
x, 82, 0.07, 100.00
