word, count, percent, cum
s, 1307, 12.16, 12.16
c, 972, 9.04, 21.20
p, 738, 6.86, 28.06
d, 729, 6.78, 34.84
a, 655, 6.09, 40.94
r, 631, 5.87, 46.80
t, 584, 5.43, 52.24
f, 572, 5.32, 57.56
b, 563, 5.24, 62.79
m, 452, 4.20, 67.00
i, 446, 4.15, 71.15
e, 426, 3.96, 75.11
w, 424, 3.94, 79.05
h, 423, 3.93, 82.99
l, 369, 3.43, 86.42
g, 339, 3.15, 89.57
u, 252, 2.34, 91.92
o, 240, 2.23, 94.15
n, 187, 1.74, 95.89
v, 138, 1.28, 97.17
j, 82, 0.76, 97.94
k, 76, 0.71, 98.64
y, 54, 0.50, 99.14
q, 43, 0.40, 99.54
_, 28, 0.26, 99.80
x, 15, 0.14, 99.94
1, 3, 0.03, 99.97
z, 1, 0.01, 99.98
2, 1, 0.01, 99.99
,, 1, 0.01, 100.00
