index, word, count, percent, cum
1,the, 7941, 5.85, 5.85
2,and, 4836, 3.56, 9.41
3,of, 3989, 2.94, 12.34
4,to, 3430, 2.52, 14.87
5,a, 2884, 2.12, 16.99
6,in, 2537, 1.87, 18.86
7,his, 1998, 1.47, 20.33
8,it, 1793, 1.32, 21.65
9,that, 1787, 1.32, 22.96
10,he, 1781, 1.31, 24.28
11,was, 1754, 1.29, 25.57
12,i, 1477, 1.09, 26.65
13,with, 1297, 0.95, 27.61
14,had, 1293, 0.95, 28.56
15,you, 1133, 0.83, 29.39
16,as, 1117, 0.82, 30.22
17,at, 1016, 0.75, 30.96
18,her, 1002, 0.74, 31.70
19,for, 923, 0.68, 32.38
20,him, 891, 0.66, 33.04
21,on, 888, 0.65, 33.69
22,not, 789, 0.58, 34.27
23,is, 750, 0.55, 34.82
24,be, 737, 0.54, 35.37
25,have, 723, 0.53, 35.90
26,were, 653, 0.48, 36.38
27,said, 646, 0.48, 36.86
28,my, 606, 0.45, 37.30
29,mr, 606, 0.45, 37.75
30,but, 602, 0.44, 38.19
31,by, 550, 0.40, 38.60
32,they, 540, 0.40, 38.99
33,so, 537, 0.40, 39.39
34,all, 526, 0.39, 39.78
35,this, 518, 0.38, 40.16
36,from, 508, 0.37, 40.53
37,there, 500, 0.37, 40.90
38,no, 478, 0.35, 41.25
39,been, 433, 0.32, 41.57
40,out, 429, 0.32, 41.89
41,she, 428, 0.32, 42.20
42,me, 427, 0.31, 42.51
43,when, 424, 0.31, 42.83
44,one, 414, 0.30, 43.13
45,“i, 405, 0.30, 43.43
46,if, 399, 0.29, 43.72
47,which, 398, 0.29, 44.02
48,them, 361, 0.27, 44.28
49,who, 359, 0.26, 44.55
50,or, 354, 0.26, 44.81
51,an, 342, 0.25, 45.06
52,would, 334, 0.25, 45.30
53,your, 319, 0.23, 45.54
54,their, 317, 0.23, 45.77
55,into, 317, 0.23, 46.01
56,lorry, 315, 0.23, 46.24
57,up, 301, 0.22, 46.46
58,are, 294, 0.22, 46.68
59,what, 292, 0.21, 46.89
60,upon, 286, 0.21, 47.10
61,could, 279, 0.21, 47.31
62,will, 269, 0.20, 47.51
63,little, 263, 0.19, 47.70
64,man, 261, 0.19, 47.89
65,defarge, 259, 0.19, 48.08
66,more, 246, 0.18, 48.26
67,do, 242, 0.18, 48.44
68,time, 239, 0.18, 48.62
69,hand, 234, 0.17, 48.79
70,some, 225, 0.17, 48.95
71,down, 225, 0.17, 49.12
72,its, 220, 0.16, 49.28
73,any, 220, 0.16, 49.44
74,before, 218, 0.16, 49.60
75,than, 213, 0.16, 49.76
76,himself, 212, 0.16, 49.92
77,am, 212, 0.16, 50.07
78,then, 211, 0.16, 50.23
79,miss, 211, 0.16, 50.38
80,very, 209, 0.15, 50.54
81,know, 209, 0.15, 50.69
82,two, 204, 0.15, 50.84
83,now, 202, 0.15, 50.99
84,again, 202, 0.15, 51.14
85,looked, 193, 0.14, 51.28
86,like, 190, 0.14, 51.42
87,made, 185, 0.14, 51.56
88,long, 182, 0.13, 51.69
89,never, 180, 0.13, 51.82
90,these, 178, 0.13, 51.96
91,good, 176, 0.13, 52.08
92,madame, 175, 0.13, 52.21
93,old, 173, 0.13, 52.34
94,other, 172, 0.13, 52.47
95,face, 172, 0.13, 52.59
96,way, 171, 0.13, 52.72
97,see, 171, 0.13, 52.85
98,over, 171, 0.13, 52.97
99,such, 168, 0.12, 53.10
100,much, 168, 0.12, 53.22
101,doctor, 168, 0.12, 53.34
102,night, 167, 0.12, 53.47
103,head, 164, 0.12, 53.59
104,eyes, 162, 0.12, 53.71
105,great, 160, 0.12, 53.82
106,through, 158, 0.12, 53.94
107,about, 156, 0.11, 54.05
108,own, 153, 0.11, 54.17
109,day, 153, 0.11, 54.28
110,we, 145, 0.11, 54.39
111,here, 145, 0.11, 54.49
112,did, 144, 0.11, 54.60
113,where, 143, 0.11, 54.70
114,might, 143, 0.11, 54.81
115,has, 142, 0.10, 54.91
116,“you, 140, 0.10, 55.02
117,pross, 140, 0.10, 55.12
118,many, 139, 0.10, 55.22
119,under, 137, 0.10, 55.32
120,came, 137, 0.10, 55.42
121,should, 136, 0.10, 55.52
122,after, 135, 0.10, 55.62
123,say, 134, 0.10, 55.72
124,come, 134, 0.10, 55.82
125,being, 134, 0.10, 55.92
126,father, 133, 0.10, 56.02
127,people, 132, 0.10, 56.12
128,carton, 132, 0.10, 56.21
129,life, 131, 0.10, 56.31
130,nothing, 130, 0.10, 56.40
131,last, 129, 0.09, 56.50
132,manette, 128, 0.09, 56.59
133,look, 128, 0.09, 56.69
134,another, 128, 0.09, 56.78
135,back, 126, 0.09, 56.87
136,young, 124, 0.09, 56.97
137,even, 123, 0.09, 57.06
138,how, 121, 0.09, 57.15
139,may, 120, 0.09, 57.23
140,every, 120, 0.09, 57.32
141,away, 120, 0.09, 57.41
142,well, 118, 0.09, 57.50
143,turned, 118, 0.09, 57.58
144,looking, 118, 0.09, 57.67
145,go, 118, 0.09, 57.76
146,only, 117, 0.09, 57.84
147,ever, 116, 0.09, 57.93
148,darnay, 116, 0.09, 58.02
149,can, 115, 0.08, 58.10
150,three, 113, 0.08, 58.18
151,seen, 113, 0.08, 58.27
152,door, 113, 0.08, 58.35
153,mind, 112, 0.08, 58.43
154,first, 111, 0.08, 58.51
155,put, 110, 0.08, 58.59
156,hands, 110, 0.08, 58.68
157,went, 109, 0.08, 58.76
158,those, 109, 0.08, 58.84
159,don’t, 109, 0.08, 58.92
160,dear, 109, 0.08, 59.00
161,took, 108, 0.08, 59.08
162,think, 107, 0.08, 59.15
163,lucie, 106, 0.08, 59.23
164,prisoner, 105, 0.08, 59.31
165,business, 105, 0.08, 59.39
166,among, 105, 0.08, 59.46
167,always, 102, 0.08, 59.54
168,must, 101, 0.07, 59.61
169,monsieur, 101, 0.07, 59.69
170,left, 101, 0.07, 59.76
171,too, 100, 0.07, 59.84
172,place, 100, 0.07, 59.91
173,cruncher, 100, 0.07, 59.98
174,sat, 99, 0.07, 60.06
175,our, 99, 0.07, 60.13
176,yet, 98, 0.07, 60.20
177,without, 98, 0.07, 60.27
178,still, 97, 0.07, 60.35
179,“it, 96, 0.07, 60.42
180,while, 96, 0.07, 60.49
181,until, 95, 0.07, 60.56
182,off, 95, 0.07, 60.63
183,us, 94, 0.07, 60.70
184,let, 94, 0.07, 60.76
185,stryver, 93, 0.07, 60.83
186,shall, 92, 0.07, 60.90
187,stood, 91, 0.07, 60.97
188,“and, 89, 0.07, 61.03
189,manner, 89, 0.07, 61.10
190,though, 88, 0.06, 61.16
191,name, 88, 0.06, 61.23
192,light, 88, 0.06, 61.29
193,monseigneur, 86, 0.06, 61.36
194,men, 86, 0.06, 61.42
195,done, 86, 0.06, 61.48
196,tell, 85, 0.06, 61.55
197,saw, 85, 0.06, 61.61
198,knew, 85, 0.06, 61.67
199,few, 85, 0.06, 61.73
200,dark, 85, 0.06, 61.80
201,you”, 84, 0.06, 61.86
202,poor, 84, 0.06, 61.92
203,jerry, 84, 0.06, 61.98
204,asked, 84, 0.06, 62.04
205,take, 83, 0.06, 62.10
206,going, 83, 0.06, 62.17
207,better, 83, 0.06, 62.23
208,tellson’s, 82, 0.06, 62.29
209,it”, 82, 0.06, 62.35
210,charles, 82, 0.06, 62.41
211,got, 81, 0.06, 62.47
212,make, 80, 0.06, 62.53
213,far, 80, 0.06, 62.59
214,brought, 80, 0.06, 62.64
215,returned, 79, 0.06, 62.70
216,house, 79, 0.06, 62.76
217,both, 79, 0.06, 62.82
218,wife, 78, 0.06, 62.88
219,husband, 78, 0.06, 62.93
220,years, 76, 0.06, 62.99
221,work, 76, 0.06, 63.05
222,room, 76, 0.06, 63.10
223,voice, 75, 0.06, 63.16
224,same, 75, 0.06, 63.21
225,once, 75, 0.06, 63.27
226,me”, 75, 0.06, 63.32
227,hope, 75, 0.06, 63.38
228,against, 75, 0.06, 63.43
229,words, 74, 0.05, 63.49
230,child, 74, 0.05, 63.54
231,taken, 73, 0.05, 63.60
232,marquis, 73, 0.05, 63.65
233,streets, 72, 0.05, 63.70
234,“what, 71, 0.05, 63.75
235,“the, 71, 0.05, 63.81
236,having, 71, 0.05, 63.86
237,most, 70, 0.05, 63.91
238,whom, 68, 0.05, 63.96
239,gentleman, 66, 0.05, 64.01
240,round, 65, 0.05, 64.06
241,prison, 65, 0.05, 64.10
242,lay, 65, 0.05, 64.15
243,heart, 65, 0.05, 64.20
244,friend, 65, 0.05, 64.25
245,enough, 65, 0.05, 64.30
246,air, 65, 0.05, 64.34
247,word, 64, 0.05, 64.39
248,sydney, 64, 0.05, 64.44
249,passed, 64, 0.05, 64.49
250,moment, 63, 0.05, 64.53
251,between, 63, 0.05, 64.58
252,“that, 62, 0.05, 64.62
253,within, 62, 0.05, 64.67
254,towards, 62, 0.05, 64.71
255,things, 62, 0.05, 64.76
256,strong, 62, 0.05, 64.81
257,side, 62, 0.05, 64.85
258,quite, 62, 0.05, 64.90
259,gone, 62, 0.05, 64.94
260,heard, 61, 0.04, 64.99
261,get, 61, 0.04, 65.03
262,stopped, 60, 0.04, 65.08
263,woman, 59, 0.04, 65.12
264,seemed, 59, 0.04, 65.16
265,hair, 59, 0.04, 65.21
266,ask, 59, 0.04, 65.25
267,wine, 58, 0.04, 65.29
