word, count, percent, cum
the, 1609, 6.08, 6.08
and, 787, 2.98, 9.06
to, 710, 2.68, 11.74
a, 615, 2.33, 14.07
she, 532, 2.01, 16.08
of, 493, 1.86, 17.94
said, 452, 1.71, 19.65
it, 428, 1.62, 21.27
alice, 360, 1.36, 22.63
in, 353, 1.33, 23.97
was, 349, 1.32, 25.29
you, 295, 1.12, 26.40
i, 263, 0.99, 27.40
as, 254, 0.96, 28.36
her, 239, 0.90, 29.26
that, 230, 0.87, 30.13
at, 205, 0.78, 30.90
on, 178, 0.67, 31.58
had, 177, 0.67, 32.25
with, 174, 0.66, 32.90
all, 164, 0.62, 33.52
for, 141, 0.53, 34.06
very, 139, 0.53, 34.58
be, 139, 0.53, 35.11
so, 135, 0.51, 35.62
little, 125, 0.47, 36.09
‘i, 124, 0.47, 36.56
but, 124, 0.47, 37.03
this, 122, 0.46, 37.49
not, 121, 0.46, 37.95
they, 117, 0.44, 38.39
out, 112, 0.42, 38.81
he, 112, 0.42, 39.24
down, 96, 0.36, 39.60
his, 95, 0.36, 39.96
what, 93, 0.35, 40.31
about, 91, 0.34, 40.66
up, 90, 0.34, 41.00
one, 88, 0.33, 41.33
is, 88, 0.33, 41.66
were, 83, 0.31, 41.98
went, 83, 0.31, 42.29
herself, 79, 0.30, 42.59
would, 77, 0.29, 42.88
like, 77, 0.29, 43.17
have, 77, 0.29, 43.46
could, 77, 0.29, 43.75
when, 74, 0.28, 44.03
no, 73, 0.28, 44.31
if, 73, 0.28, 44.58
thought, 72, 0.27, 44.86
them, 72, 0.27, 45.13
or, 69, 0.26, 45.39
there, 67, 0.25, 45.64
into, 67, 0.25, 45.90
then, 66, 0.25, 46.15
queen, 64, 0.24, 46.39
again, 62, 0.23, 46.62
, 61, 0.23, 46.85
your, 60, 0.23, 47.08
time, 60, 0.23, 47.31
off, 60, 0.23, 47.53
know, 60, 0.23, 47.76
do, 60, 0.23, 47.99
see, 59, 0.22, 48.21
‘and, 57, 0.22, 48.43
its, 57, 0.22, 48.64
my, 56, 0.21, 48.85
mock, 56, 0.21, 49.06
by, 56, 0.21, 49.28
began, 56, 0.21, 49.49
an, 56, 0.21, 49.70
quite, 55, 0.21, 49.91
king, 55, 0.21, 50.12
who, 54, 0.20, 50.32
me, 54, 0.20, 50.52
did, 54, 0.20, 50.73
don’t, 53, 0.20, 50.93
their, 51, 0.19, 51.12
gryphon, 51, 0.19, 51.31
turtle, 50, 0.19, 51.50
some, 50, 0.19, 51.69
way, 49, 0.19, 51.88
just, 48, 0.18, 52.06
it’, 47, 0.18, 52.24
hatter, 47, 0.18, 52.41
how, 46, 0.17, 52.59
only, 45, 0.17, 52.76
looked, 45, 0.17, 52.93
got, 45, 0.17, 53.10
go, 45, 0.17, 53.27
which, 44, 0.17, 53.43
more, 44, 0.17, 53.60
voice, 43, 0.16, 53.76
must, 43, 0.16, 53.93
much, 43, 0.16, 54.09
get, 43, 0.16, 54.25
are, 43, 0.16, 54.41
say, 42, 0.16, 54.57
first, 42, 0.16, 54.73
think, 41, 0.16, 54.89
never, 41, 0.16, 55.04
‘you, 40, 0.15, 55.19
‘but, 40, 0.15, 55.34
thing, 40, 0.15, 55.50
such, 40, 0.15, 55.65
round, 40, 0.15, 55.80
rabbit, 40, 0.15, 55.95
came, 40, 0.15, 56.10
after, 40, 0.15, 56.25
head, 39, 0.15, 56.40
great, 39, 0.15, 56.55
been, 38, 0.14, 56.69
i’m, 37, 0.14, 56.83
any, 37, 0.14, 56.97
over, 36, 0.14, 57.11
‘what, 35, 0.13, 57.24
now, 35, 0.13, 57.37
back, 35, 0.13, 57.50
two, 34, 0.13, 57.63
mouse, 34, 0.13, 57.76
him, 34, 0.13, 57.89
tone, 33, 0.12, 58.01
other, 33, 0.12, 58.14
large, 33, 0.12, 58.26
dormouse, 33, 0.12, 58.39
before, 33, 0.12, 58.51
march, 32, 0.12, 58.63
from, 32, 0.12, 58.75
‘it, 31, 0.12, 58.87
well, 31, 0.12, 58.99
put, 31, 0.12, 59.11
long, 31, 0.12, 59.22
last, 31, 0.12, 59.34
it’s, 31, 0.12, 59.46
here, 31, 0.12, 59.58
can, 31, 0.12, 59.69
will, 30, 0.11, 59.81
made, 30, 0.11, 59.92
looking, 30, 0.11, 60.03
hare, 30, 0.11, 60.15
cat, 30, 0.11, 60.26
white, 29, 0.11, 60.37
tell, 29, 0.11, 60.48
next, 29, 0.11, 60.59
heard, 29, 0.11, 60.70
duchess, 29, 0.11, 60.81
might, 28, 0.11, 60.91
found, 28, 0.11, 61.02
come, 28, 0.11, 61.13
should, 27, 0.10, 61.23
seemed, 27, 0.10, 61.33
nothing, 27, 0.10, 61.43
moment, 27, 0.10, 61.53
look, 27, 0.10, 61.64
going, 27, 0.10, 61.74
door, 27, 0.10, 61.84
can’t, 27, 0.10, 61.94
upon, 26, 0.10, 62.04
that’, 26, 0.10, 62.14
poor, 26, 0.10, 62.24
once, 26, 0.10, 62.34
make, 26, 0.10, 62.43
caterpillar, 26, 0.10, 62.53
soon, 25, 0.09, 62.63
rather, 25, 0.09, 62.72
know’, 25, 0.09, 62.82
eyes, 25, 0.09, 62.91
without, 24, 0.09, 63.00
while, 24, 0.09, 63.09
took, 24, 0.09, 63.18
three, 24, 0.09, 63.27
right, 24, 0.09, 63.36
replied, 24, 0.09, 63.45
i’ll, 24, 0.09, 63.54
good, 24, 0.09, 63.64
‘well, 23, 0.09, 63.72
‘oh, 23, 0.09, 63.81
‘it’s, 23, 0.09, 63.90
than, 23, 0.09, 63.98
same, 23, 0.09, 64.07
felt, 23, 0.09, 64.16
added, 23, 0.09, 64.24
won’t, 22, 0.08, 64.33
too, 22, 0.08, 64.41
things, 22, 0.08, 64.49
shall, 22, 0.08, 64.58
another, 22, 0.08, 64.66
‘the, 21, 0.08, 64.74
‘if, 21, 0.08, 64.82
wish, 21, 0.08, 64.90
half, 21, 0.08, 64.98
getting, 21, 0.08, 65.06
dear, 21, 0.08, 65.14
away, 21, 0.08, 65.22
‘i’m, 20, 0.08, 65.29
minute, 20, 0.08, 65.37
i’ve, 20, 0.08, 65.44
find, 20, 0.08, 65.52
cried, 20, 0.08, 65.59
you’, 19, 0.07, 65.67
tried, 19, 0.07, 65.74
till, 19, 0.07, 65.81
take, 19, 0.07, 65.88
sure, 19, 0.07, 65.95
however, 19, 0.07, 66.03
even, 19, 0.07, 66.10
day, 19, 0.07, 66.17
being, 19, 0.07, 66.24
‘why, 18, 0.07, 66.31
use, 18, 0.07, 66.38
sort, 18, 0.07, 66.44
hand, 18, 0.07, 66.51
feet, 18, 0.07, 66.58
you’re, 17, 0.06, 66.65
why, 17, 0.06, 66.71
we, 17, 0.06, 66.77
that’s, 17, 0.06, 66.84
side, 17, 0.06, 66.90
sat, 17, 0.06, 66.97
house, 17, 0.06, 67.03
