word, count, percent, cum
and, 6213, 5.59, 5.59
the, 4835, 4.35, 9.93
i, 3094, 2.78, 12.72
a, 2927, 2.63, 15.35
to, 2891, 2.60, 17.95
it, 2109, 1.90, 19.84
was, 2015, 1.81, 21.65
of, 1647, 1.48, 23.14
he, 1640, 1.47, 24.61
in, 1422, 1.28, 25.89
you, 1199, 1.08, 26.97
that, 1011, 0.91, 27.88
but, 973, 0.87, 28.75
so, 907, 0.82, 29.57
on, 854, 0.77, 30.33
for, 830, 0.75, 31.08
we, 824, 0.74, 31.82
up, 800, 0.72, 32.54
all, 791, 0.71, 33.25
out, 755, 0.68, 33.93
they, 690, 0.62, 34.55
me, 668, 0.60, 35.15
him, 652, 0.59, 35.74
got, 611, 0.55, 36.29
then, 568, 0.51, 36.80
his, 554, 0.50, 37.30
there, 540, 0.49, 37.78
as, 539, 0.48, 38.27
with, 526, 0.47, 38.74
no, 490, 0.44, 39.18
she, 486, 0.44, 39.62
them, 472, 0.42, 40.04
see, 461, 0.41, 40.46
down, 461, 0.41, 40.87
said, 460, 0.41, 41.28
had, 455, 0.41, 41.69
when, 420, 0.38, 42.07
about, 410, 0.37, 42.44
my, 405, 0.36, 42.80
at, 403, 0.36, 43.17
would, 393, 0.35, 43.52
by, 389, 0.35, 43.87
if, 384, 0.35, 44.21
come, 368, 0.33, 44.55
one, 357, 0.32, 44.87
be, 353, 0.32, 45.18
what, 347, 0.31, 45.50
do, 343, 0.31, 45.80
her, 341, 0.31, 46.11
didn’t, 333, 0.30, 46.41
get, 331, 0.30, 46.71
says:, 311, 0.28, 46.99
or, 308, 0.28, 47.26
says, 302, 0.27, 47.54
don’t, 302, 0.27, 47.81
jim, 298, 0.27, 48.08
could, 295, 0.27, 48.34
went, 294, 0.26, 48.60
warn’t, 287, 0.26, 48.86
time, 283, 0.25, 49.12
ain’t, 280, 0.25, 49.37
over, 278, 0.25, 49.62
off, 268, 0.24, 49.86
is, 266, 0.24, 50.10
go, 263, 0.24, 50.34
right, 258, 0.23, 50.57
old, 257, 0.23, 50.80
just, 257, 0.23, 51.03
like, 254, 0.23, 51.26
good, 253, 0.23, 51.49
around, 250, 0.22, 51.71
de, 248, 0.22, 51.93
way, 237, 0.21, 52.15
this, 235, 0.21, 52.36
well, 230, 0.21, 52.56
know, 228, 0.21, 52.77
along, 227, 0.20, 52.97
en, 225, 0.20, 53.18
done, 219, 0.20, 53.37
ever, 210, 0.19, 53.56
back, 210, 0.19, 53.75
couldn’t, 207, 0.19, 53.94
because, 206, 0.19, 54.12
tom, 204, 0.18, 54.31
now, 204, 0.18, 54.49
little, 202, 0.18, 54.67
some, 196, 0.18, 54.85
your, 191, 0.17, 55.02
man, 187, 0.17, 55.19
never, 186, 0.17, 55.35
two, 181, 0.16, 55.52
it’s, 174, 0.16, 55.67
going, 174, 0.16, 55.83
made, 173, 0.16, 55.99
tell, 172, 0.15, 56.14
have, 171, 0.15, 56.29
wouldn’t, 169, 0.15, 56.45
more, 169, 0.15, 56.60
how, 169, 0.15, 56.75
took, 168, 0.15, 56.90
away, 168, 0.15, 57.05
make, 166, 0.15, 57.20
say, 165, 0.15, 57.35
take, 163, 0.15, 57.50
from, 163, 0.15, 57.64
nothing, 161, 0.14, 57.79
again, 161, 0.14, 57.93
pretty, 160, 0.14, 58.08
any, 157, 0.14, 58.22
before, 155, 0.14, 58.36
here, 154, 0.14, 58.49
their, 153, 0.14, 58.63
well, 152, 0.14, 58.77
us, 151, 0.14, 58.90
too, 148, 0.13, 59.04
not, 146, 0.13, 59.17
long, 145, 0.13, 59.30
let, 145, 0.13, 59.43
want, 143, 0.13, 59.56
told, 143, 0.13, 59.69
nigger, 143, 0.13, 59.82
king, 142, 0.13, 59.94
an, 141, 0.13, 60.07
after, 140, 0.13, 60.20
into, 138, 0.12, 60.32
set, 137, 0.12, 60.44
duke, 136, 0.12, 60.57
where, 135, 0.12, 60.69
put, 135, 0.12, 60.81
give, 135, 0.12, 60.93
been, 133, 0.12, 61.05
think, 131, 0.12, 61.17
most, 131, 0.12, 61.28
till, 130, 0.12, 61.40
river, 130, 0.12, 61.52
thing, 128, 0.12, 61.63
kind, 127, 0.11, 61.75
can, 126, 0.11, 61.86
night, 119, 0.11, 61.97
people, 117, 0.11, 62.07
look, 116, 0.10, 62.18
every, 115, 0.10, 62.28
did, 115, 0.10, 62.38
reckon, 114, 0.10, 62.49
that’s, 110, 0.10, 62.59
i, 109, 0.10, 62.68
only, 108, 0.10, 62.78
other, 106, 0.10, 62.88
head, 105, 0.09, 62.97
place, 104, 0.09, 63.06
things, 103, 0.09, 63.16
enough, 103, 0.09, 63.25
our, 102, 0.09, 63.34
raft, 101, 0.09, 63.43
soon, 99, 0.09, 63.52
town, 98, 0.09, 63.61
another, 98, 0.09, 63.70
much, 97, 0.09, 63.78
why, 96, 0.09, 63.87
very, 96, 0.09, 63.96
i’ll, 96, 0.09, 64.04
three, 95, 0.09, 64.13
day, 95, 0.09, 64.21
why, 93, 0.08, 64.30
which, 93, 0.08, 64.38
knowed, 93, 0.08, 64.46
first, 93, 0.08, 64.55
wanted, 92, 0.08, 64.63
last, 92, 0.08, 64.71
big, 92, 0.08, 64.80
always, 92, 0.08, 64.88
such, 91, 0.08, 64.96
can’t, 89, 0.08, 65.04
i’d, 88, 0.08, 65.12
better, 88, 0.08, 65.20
run, 87, 0.08, 65.28
next, 87, 0.08, 65.36
looked, 87, 0.08, 65.43
hear, 86, 0.08, 65.51
chapter, 86, 0.08, 65.59
than, 85, 0.08, 65.67
everybody, 84, 0.08, 65.74
