word, count, percent, cum
the, 4306, 3.54, 3.54
to, 4106, 3.38, 6.92
of, 3582, 2.95, 9.87
and, 3434, 2.82, 12.69
her, 2147, 1.77, 14.46
a, 1926, 1.58, 16.04
in, 1845, 1.52, 17.56
was, 1830, 1.51, 19.06
i, 1746, 1.44, 20.50
she, 1666, 1.37, 21.87
that, 1469, 1.21, 23.08
not, 1389, 1.14, 24.22
it, 1386, 1.14, 25.36
he, 1289, 1.06, 26.42
his, 1244, 1.02, 27.45
be, 1224, 1.01, 28.45
you, 1171, 0.96, 29.42
as, 1164, 0.96, 30.37
had, 1163, 0.96, 31.33
with, 1038, 0.85, 32.18
for, 1026, 0.84, 33.03
but, 889, 0.73, 33.76
have, 832, 0.68, 34.44
is, 828, 0.68, 35.12
at, 781, 0.64, 35.77
mr, 766, 0.63, 36.40
on, 701, 0.58, 36.97
him, 681, 0.56, 37.53
my, 651, 0.54, 38.07
by, 627, 0.52, 38.59
they, 584, 0.48, 39.07
all, 580, 0.48, 39.54
so, 565, 0.46, 40.01
elizabeth, 564, 0.46, 40.47
were, 559, 0.46, 40.93
which, 530, 0.44, 41.37
could, 519, 0.43, 41.79
been, 512, 0.42, 42.22
from, 484, 0.40, 42.61
very, 472, 0.39, 43.00
would, 463, 0.38, 43.38
no, 450, 0.37, 43.75
their, 440, 0.36, 44.11
what, 432, 0.36, 44.47
your, 417, 0.34, 44.81
will, 398, 0.33, 45.14
this, 398, 0.33, 45.47
them, 385, 0.32, 45.78
me, 385, 0.32, 46.10
such, 382, 0.31, 46.42
said, 377, 0.31, 46.73
when, 354, 0.29, 47.02
an, 350, 0.29, 47.30
darcy, 340, 0.28, 47.58
mrs, 338, 0.28, 47.86
are, 326, 0.27, 48.13
more, 316, 0.26, 48.39
there, 314, 0.26, 48.65
much, 314, 0.26, 48.91
am, 312, 0.26, 49.16
do, 308, 0.25, 49.42
must, 303, 0.25, 49.67
if, 303, 0.25, 49.92
“i, 297, 0.24, 50.16
or, 293, 0.24, 50.40
than, 280, 0.23, 50.63
who, 279, 0.23, 50.86
miss, 272, 0.22, 51.08
bennet, 271, 0.22, 51.31
any, 267, 0.22, 51.53
one, 255, 0.21, 51.74
did, 250, 0.21, 51.94
should, 243, 0.20, 52.14
jane, 242, 0.20, 52.34
we, 228, 0.19, 52.53
bingley, 226, 0.19, 52.71
know, 222, 0.18, 52.90
never, 217, 0.18, 53.08
though, 215, 0.18, 53.25
has, 215, 0.18, 53.43
before, 215, 0.18, 53.61
soon, 213, 0.18, 53.78
only, 211, 0.17, 53.96
herself, 211, 0.17, 54.13
think, 205, 0.17, 54.30
some, 202, 0.17, 54.46
other, 201, 0.17, 54.63
how, 199, 0.16, 54.79
might, 198, 0.16, 54.96
after, 198, 0.16, 55.12
