word, count, percent, cum
the, 5532, 5.29, 5.29
and, 2878, 2.75, 8.05
to, 2657, 2.54, 10.59
of, 2639, 2.53, 13.12
i, 2613, 2.50, 15.62
a, 2601, 2.49, 18.11
in, 1729, 1.65, 19.76
that, 1646, 1.58, 21.34
it, 1476, 1.41, 22.75
he, 1408, 1.35, 24.10
was, 1397, 1.34, 25.43
you, 1268, 1.21, 26.65
his, 1151, 1.10, 27.75
is, 1095, 1.05, 28.80
my, 957, 0.92, 29.71
have, 907, 0.87, 30.58
as, 841, 0.80, 31.38
with, 826, 0.79, 32.18
had, 825, 0.79, 32.96
which, 762, 0.73, 33.69
at, 758, 0.73, 34.42
for, 711, 0.68, 35.10
be, 620, 0.59, 35.69
not, 607, 0.58, 36.27
me, 588, 0.56, 36.84
but, 557, 0.53, 37.37
we, 496, 0.47, 37.84
from, 487, 0.47, 38.31
said, 483, 0.46, 38.77
upon, 463, 0.44, 39.22
there, 451, 0.43, 39.65
this, 439, 0.42, 40.07
holmes, 419, 0.40, 40.47
her, 415, 0.40, 40.87
so, 411, 0.39, 41.26
she, 411, 0.39, 41.65
him, 401, 0.38, 42.04
been, 390, 0.37, 42.41
very, 376, 0.36, 42.77
your, 371, 0.36, 43.12
"i, 371, 0.36, 43.48
all, 368, 0.35, 43.83
on, 364, 0.35, 44.18
were, 344, 0.33, 44.51
one, 342, 0.33, 44.84
by, 332, 0.32, 45.15
an, 329, 0.31, 45.47
are, 327, 0.31, 45.78
would, 324, 0.31, 46.09
what, 315, 0.30, 46.39
no, 311, 0.30, 46.69
out, 308, 0.29, 46.99
when, 302, 0.29, 47.27
up, 296, 0.28, 47.56
could, 285, 0.27, 47.83
has, 282, 0.27, 48.10
man, 281, 0.27, 48.37
into, 275, 0.26, 48.63
little, 267, 0.26, 48.89
who, 263, 0.25, 49.14
mr, 263, 0.25, 49.39
then, 260, 0.25, 49.64
will, 258, 0.25, 49.89
do, 251, 0.24, 50.13
some, 239, 0.23, 50.36
if, 237, 0.23, 50.58
down, 225, 0.22, 50.80
see, 214, 0.20, 51.00
should, 208, 0.20, 51.20
our, 206, 0.20, 51.40
or, 194, 0.19, 51.59
may, 194, 0.19, 51.77
now, 193, 0.18, 51.96
am, 185, 0.18, 52.13
they, 176, 0.17, 52.30
us, 174, 0.17, 52.47
more, 172, 0.16, 52.63
over, 171, 0.16, 52.80
think, 170, 0.16, 52.96
shall, 169, 0.16, 53.12
about, 165, 0.16, 53.28
can, 164, 0.16, 53.44
must, 161, 0.15, 53.59
know, 160, 0.15, 53.74
than, 157, 0.15, 53.89
only, 155, 0.15, 54.04
before, 155, 0.15, 54.19
come, 150, 0.14, 54.33
other, 146, 0.14, 54.47
came, 146, 0.14, 54.61
time, 145, 0.14, 54.75
did, 144, 0.14, 54.89
two, 140, 0.13, 55.02
"it, 140, 0.13, 55.16
"you, 133, 0.13, 55.28
them, 131, 0.13, 55.41
door, 131, 0.13, 55.53
back, 131, 0.13, 55.66
face, 127, 0.12, 55.78
any, 127, 0.12, 55.90
might, 125, 0.12, 56.02
room, 124, 0.12, 56.14
"and, 122, 0.12, 56.26
just, 119, 0.11, 56.37
much, 115, 0.11, 56.48
matter, 112, 0.11, 56.59
how, 112, 0.11, 56.70
heard, 111, 0.11, 56.80
hand, 110, 0.11, 56.91
such, 108, 0.10, 57.01
where, 107, 0.10, 57.11
made, 107, 0.10, 57.22
way, 106, 0.10, 57.32
found, 106, 0.10, 57.42
however, 104, 0.10, 57.52
house, 104, 0.10, 57.62
its, 103, 0.10, 57.72
here, 101, 0.10, 57.81
away, 100, 0.10, 57.91
case, 99, 0.09, 58.00
own, 98, 0.09, 58.10
good, 98, 0.09, 58.19
after, 98, 0.09, 58.29
nothing, 97, 0.09, 58.38
their, 96, 0.09, 58.47
sherlock, 96, 0.09, 58.56
never, 95, 0.09, 58.65
like, 94, 0.09, 58.74
go, 94, 0.09, 58.83
tell, 91, 0.09, 58.92
morning, 91, 0.09, 59.01
last, 91, 0.09, 59.09
say, 90, 0.09, 59.18
"but, 90, 0.09, 59.27
well, 89, 0.09, 59.35
saw, 89, 0.09, 59.44
right, 89, 0.09, 59.52
quite, 89, 0.09, 59.61
asked, 88, 0.08, 59.69
through, 87, 0.08, 59.77
most, 87, 0.08, 59.86
long, 87, 0.08, 59.94
eyes, 87, 0.08, 60.02
"the, 87, 0.08, 60.11
took, 86, 0.08, 60.19
miss, 86, 0.08, 60.27
once, 84, 0.08, 60.35
st, 82, 0.08, 60.43
, 82, 0.08, 60.51
young, 81, 0.08, 60.59
round, 81, 0.08, 60.66
left, 81, 0.08, 60.74
every, 81, 0.08, 60.82
first, 80, 0.08, 60.90
day, 80, 0.08, 60.97
"well, 80, 0.08, 61.05
yet, 79, 0.08, 61.12
it", 79, 0.08, 61.20
small, 78, 0.07, 61.27
side, 78, 0.07, 61.35
find, 78, 0.07, 61.42
too, 77, 0.07, 61.50
take, 77, 0.07, 61.57
still, 77, 0.07, 61.65
"yes, 77, 0.07, 61.72
thought, 76, 0.07, 61.79
these, 76, 0.07, 61.86
street, 76, 0.07, 61.94
few, 76, 0.07, 62.01
until, 75, 0.07, 62.08
make, 73, 0.07, 62.15
without, 72, 0.07, 62.22
myself, 72, 0.07, 62.29
himself, 72, 0.07, 62.36
"oh, 72, 0.07, 62.43
light, 71, 0.07, 62.50
seen, 70, 0.07, 62.56
off, 70, 0.07, 62.63
ever, 70, 0.07, 62.70
even, 70, 0.07, 62.76
"that, 70, 0.07, 62.83
you", 69, 0.07, 62.90
three, 69, 0.07, 62.96
night, 69, 0.07, 63.03
seemed, 68, 0.07, 63.09
put, 68, 0.07, 63.16
old, 68, 0.07, 63.22
friend, 68, 0.07, 63.29
father, 68, 0.07, 63.35
went, 67, 0.06, 63.42
having, 67, 0.06, 63.48
while, 66, 0.06, 63.54
those, 66, 0.06, 63.61
look, 66, 0.06, 63.67
head, 66, 0.06, 63.73
cried, 66, 0.06, 63.80
"what, 66, 0.06, 63.86
window, 65, 0.06, 63.92
lady, 65, 0.06, 63.99
something, 64, 0.06, 64.05
remarked, 64, 0.06, 64.11
rather, 63, 0.06, 64.17
let, 63, 0.06, 64.23
doubt, 63, 0.06, 64.29
business, 63, 0.06, 64.35
"no, 63, 0.06, 64.41
years, 62, 0.06, 64.47
hands, 62, 0.06, 64.53
done, 62, 0.06, 64.59
though, 61, 0.06, 64.65
open, 61, 0.06, 64.70
get, 60, 0.06, 64.76
again, 60, 0.06, 64.82
sir, 59, 0.06, 64.88
great, 59, 0.06, 64.93
give, 58, 0.06, 64.99
course, 58, 0.06, 65.04
between, 58, 0.06, 65.10
knew, 57, 0.05, 65.15
always, 57, 0.05, 65.21
name, 56, 0.05, 65.26
mind, 56, 0.05, 65.31
"then, 56, 0.05, 65.37
woman, 55, 0.05, 65.42
watson, 55, 0.05, 65.47
same, 55, 0.05, 65.53
sat, 54, 0.05, 65.58
chair, 54, 0.05, 65.63
answered, 54, 0.05, 65.68
far, 53, 0.05, 65.73
turned, 51, 0.05, 65.78
perhaps, 51, 0.05, 65.83
looked, 51, 0.05, 65.88
got, 51, 0.05, 65.93
enough, 51, 0.05, 65.98
end, 51, 0.05, 66.02
dear, 51, 0.05, 66.07
cannot, 51, 0.05, 66.12
against, 51, 0.05, 66.17
told, 50, 0.05, 66.22
place, 50, 0.05, 66.27
hardly, 50, 0.05, 66.31
front, 50, 0.05, 66.36
brought, 50, 0.05, 66.41
then", 49, 0.05, 66.46
black, 49, 0.05, 66.50
behind, 49, 0.05, 66.55
"my, 49, 0.05, 66.60
also, 48, 0.05, 66.64
within, 47, 0.04, 66.69
why, 47, 0.04, 66.73
leave, 47, 0.04, 66.78
already, 47, 0.04, 66.82
wife, 46, 0.04, 66.87
really, 46, 0.04, 66.91
gave, 46, 0.04, 66.96
better, 46, 0.04, 67.00
anything, 46, 0.04, 67.04
whole, 45, 0.04, 67.09
suddenly, 45, 0.04, 67.13
strange, 45, 0.04, 67.17
home, 45, 0.04, 67.22
being, 45, 0.04, 67.26
words, 44, 0.04, 67.30
indeed, 44, 0.04, 67.34
help, 44, 0.04, 67.39
hair, 44, 0.04, 67.43
both, 44, 0.04, 67.47
"he, 44, 0.04, 67.51
table, 43, 0.04, 67.55
son, 43, 0.04, 67.59
possible, 43, 0.04, 67.64
minutes, 43, 0.04, 67.68
me", 43, 0.04, 67.72
wish, 42, 0.04, 67.76
whether, 42, 0.04, 67.80
understand, 42, 0.04, 67.84
under, 42, 0.04, 67.88
looking, 42, 0.04, 67.92
lay, 42, 0.04, 67.96
gone, 42, 0.04, 68.00
another, 42, 0.04, 68.04
set, 41, 0.04, 68.08
life, 41, 0.04, 68.12
large, 41, 0.04, 68.16
call, 41, 0.04, 68.20
thing, 40, 0.04, 68.23
sure, 40, 0.04, 68.27
passed, 40, 0.04, 68.31
papers, 40, 0.04, 68.35
mrs, 40, 0.04, 68.39
gentleman, 40, 0.04, 68.43
clear, 40, 0.04, 68.46
baker, 40, 0.04, 68.50
work, 39, 0.04, 68.54
soon, 39, 0.04, 68.58
since, 39, 0.04, 68.61
met, 39, 0.04, 68.65
many, 39, 0.04, 68.69
hat, 39, 0.04, 68.73
fire, 39, 0.04, 68.76
days, 39, 0.04, 68.80
yourself, 38, 0.04, 68.84
word, 38, 0.04, 68.87
whom, 38, 0.04, 68.91
pounds, 38, 0.04, 68.95
police, 38, 0.04, 68.98
point, 38, 0.04, 69.02
paper, 38, 0.04, 69.06
money, 38, 0.04, 69.09
less, 38, 0.04, 69.13
half, 38, 0.04, 69.16
during, 38, 0.04, 69.20
"there, 38, 0.04, 69.24
lord, 37, 0.04, 69.27
london, 37, 0.04, 69.31
across, 37, 0.04, 69.34
"this, 37, 0.04, 69.38
save, 36, 0.03, 69.41
returned, 36, 0.03, 69.45
men, 36, 0.03, 69.48
does, 36, 0.03, 69.52
bed, 36, 0.03, 69.55
simon, 35, 0.03, 69.58
opened, 35, 0.03, 69.62
ask, 35, 0.03, 69.65
among, 35, 0.03, 69.69
stood, 34, 0.03, 69.72
rucastle, 34, 0.03, 69.75
read, 34, 0.03, 69.78
lestrade, 34, 0.03, 69.82
five, 34, 0.03, 69.85
facts, 34, 0.03, 69.88
together, 33, 0.03, 69.91
strong, 33, 0.03, 69.94
singular, 33, 0.03, 69.98
rushed, 33, 0.03, 70.01
least, 33, 0.03, 70.04
entered, 33, 0.03, 70.07
either, 33, 0.03, 70.10
story, 32, 0.03, 70.13
question, 32, 0.03, 70.16
part, 32, 0.03, 70.19
moment, 32, 0.03, 70.22
laid, 32, 0.03, 70.25
interest, 32, 0.03, 70.29
given, 32, 0.03, 70.32
each, 32, 0.03, 70.35
dark, 32, 0.03, 70.38
corner, 32, 0.03, 70.41
believe, 32, 0.03, 70.44
oclock, 31, 0.03, 70.47
hope, 31, 0.03, 70.50
hear, 31, 0.03, 70.53
forward, 31, 0.03, 70.56
felt, 31, 0.03, 70.59
best, 31, 0.03, 70.62
became, 31, 0.03, 70.65
able, 31, 0.03, 70.68
use, 30, 0.03, 70.70
turn, 30, 0.03, 70.73
sound, 30, 0.03, 70.76
several, 30, 0.03, 70.79
new, 30, 0.03, 70.82
near, 30, 0.03, 70.85
mccarthy, 30, 0.03, 70.88
instant, 30, 0.03, 70.91
hour, 30, 0.03, 70.93
him", 30, 0.03, 70.96
going, 30, 0.03, 70.99
four, 30, 0.03, 71.02
evening, 30, 0.03, 71.05
country, 30, 0.03, 71.08
certainly, 30, 0.03, 71.11
waiting, 29, 0.03, 71.13
threw, 29, 0.03, 71.16
road, 29, 0.03, 71.19
heavy, 29, 0.03, 71.22
companion, 29, 0.03, 71.24
client, 29, 0.03, 71.27
walked, 28, 0.03, 71.30
taken, 28, 0.03, 71.33
seems, 28, 0.03, 71.35
red, 28, 0.03, 71.38
ran, 28, 0.03, 71.41
obvious, 28, 0.03, 71.43
letter, 28, 0.03, 71.46
inspector, 28, 0.03, 71.49
fellow, 28, 0.03, 71.51
dr, 28, 0.03, 71.54
cut, 28, 0.03, 71.57
used, 27, 0.03, 71.59
spoke, 27, 0.03, 71.62
seven, 27, 0.03, 71.64
note, 27, 0.03, 71.67
manner, 27, 0.03, 71.70
lost, 27, 0.03, 71.72
hard, 27, 0.03, 71.75
family, 27, 0.03, 71.77
dont, 27, 0.03, 71.80
