word, count, percent, cum
the, 3748, 5.29, 5.29
and, 3008, 4.25, 9.54
a, 1818, 2.57, 12.11
to, 1710, 2.41, 14.52
of, 1464, 2.07, 16.59
he, 1174, 1.66, 18.25
was, 1161, 1.64, 19.89
it, 1089, 1.54, 21.42
in, 946, 1.34, 22.76
that, 884, 1.25, 24.01
his, 819, 1.16, 25.16
you, 742, 1.05, 26.21
i, 742, 1.05, 27.26
tom, 693, 0.98, 28.24
with, 642, 0.91, 29.15
but, 545, 0.77, 29.91
they, 541, 0.76, 30.68
had, 510, 0.72, 31.40
for, 508, 0.72, 32.12
him, 400, 0.56, 32.68
as, 394, 0.56, 33.24
on, 372, 0.53, 33.76
at, 370, 0.52, 34.29
she, 368, 0.52, 34.80
so, 339, 0.48, 35.28
all, 320, 0.45, 35.74
then, 298, 0.42, 36.16
be, 292, 0.41, 36.57
up, 291, 0.41, 36.98
were, 290, 0.41, 37.39
there, 286, 0.40, 37.79
this, 284, 0.40, 38.19
not, 279, 0.39, 38.59
her, 274, 0.39, 38.97
out, 266, 0.38, 39.35
now, 257, 0.36, 39.71
by, 255, 0.36, 40.07
no, 239, 0.34, 40.41
would, 237, 0.33, 40.75
if, 232, 0.33, 41.07
said, 227, 0.32, 41.39
its, 223, 0.31, 41.71
huck, 215, 0.30, 42.01
when, 212, 0.30, 42.31
dont, 210, 0.30, 42.61
me, 197, 0.28, 42.89
well, 195, 0.28, 43.16
their, 194, 0.27, 43.44
what, 190, 0.27, 43.70
time, 182, 0.26, 43.96
an, 182, 0.26, 44.22
from, 179, 0.25, 44.47
could, 178, 0.25, 44.72
one, 177, 0.25, 44.97
got, 172, 0.24, 45.21
do, 170, 0.24, 45.45
is, 168, 0.24, 45.69
boys, 166, 0.23, 45.93
about, 165, 0.23, 46.16
down, 162, 0.23, 46.39
them, 161, 0.23, 46.62
have, 161, 0.23, 46.84
been, 150, 0.21, 47.05
upon, 146, 0.21, 47.26
or, 144, 0.20, 47.46
little, 141, 0.20, 47.66
did, 140, 0.20, 47.86
just, 139, 0.20, 48.06
into, 139, 0.20, 48.25
see, 138, 0.19, 48.45
more, 138, 0.19, 48.64
go, 136, 0.19, 48.84
over, 133, 0.19, 49.02
joe, 131, 0.18, 49.21
never, 128, 0.18, 49.39
said:, 123, 0.17, 49.56
know, 123, 0.17, 49.74
come, 123, 0.17, 49.91
away, 120, 0.17, 50.08
aint, 119, 0.17, 50.25
boy, 117, 0.17, 50.41
any, 117, 0.17, 50.58
two, 115, 0.16, 50.74
some, 115, 0.16, 50.90
like, 115, 0.16, 51.06
again, 115, 0.16, 51.23
came, 114, 0.16, 51.39
back, 114, 0.16, 51.55
oh, 113, 0.16, 51.71
get, 112, 0.16, 51.87
