word, count, percent, cum
und, 182, 3.03, 3.03
die, 169, 2.82, 5.85
ich, 146, 2.43, 8.28
sie, 130, 2.17, 10.45
der, 121, 2.02, 12.47
in, 108, 1.80, 14.27
den, 80, 1.33, 15.60
nicht, 75, 1.25, 16.85
das, 71, 1.18, 18.03
zu, 70, 1.17, 19.20
es, 65, 1.08, 20.28
mit, 64, 1.07, 21.35
sich, 60, 1.00, 22.35
, 59, 0.98, 23.33
auf, 55, 0.92, 24.25
man, 52, 0.87, 25.12
so, 50, 0.83, 25.95
ist, 49, 0.82, 26.77
ein, 49, 0.82, 27.58
wenn, 47, 0.78, 28.37
wie, 42, 0.70, 29.07
dem, 42, 0.70, 29.77
wir, 41, 0.68, 30.45
an, 40, 0.67, 31.12
daß, 39, 0.65, 31.77
mir, 38, 0.63, 32.40
schon, 35, 0.58, 32.98
aber, 34, 0.57, 33.55
mich, 33, 0.55, 34.10
im, 32, 0.53, 34.63
von, 28, 0.47, 35.10
uns, 27, 0.45, 35.55
nur, 27, 0.45, 36.00
als, 27, 0.45, 36.45
vor, 23, 0.38, 36.83
noch, 23, 0.38, 37.22
doch, 23, 0.38, 37.60
war, 22, 0.37, 37.97
sind, 22, 0.37, 38.33
einem, 21, 0.35, 38.68
des, 21, 0.35, 39.03
aus, 21, 0.35, 39.38
auch, 21, 0.35, 39.73
einen, 19, 0.32, 40.05
denn, 19, 0.32, 40.37
nach, 18, 0.30, 40.67
haben, 18, 0.30, 40.97
dann, 18, 0.30, 41.27
über, 17, 0.28, 41.55
ihr, 17, 0.28, 41.83
für, 17, 0.28, 42.12
einer, 17, 0.28, 42.40
nichts, 16, 0.27, 42.67
mehr, 16, 0.27, 42.93
zum, 14, 0.23, 43.17
werden, 14, 0.23, 43.40
ihnen, 14, 0.23, 43.63
habe, 14, 0.23, 43.87
er, 14, 0.23, 44.10
um, 13, 0.22, 44.32
selbst, 13, 0.22, 44.53
mein, 13, 0.22, 44.75
bei, 13, 0.22, 44.97
zimmer, 12, 0.20, 45.17
was, 12, 0.20, 45.37
sein, 12, 0.20, 45.57
keine, 12, 0.20, 45.77
kann, 12, 0.20, 45.97
jetzt, 12, 0.20, 46.17
diese, 12, 0.20, 46.37
wird, 11, 0.18, 46.55
niemand, 11, 0.18, 46.73
ihm, 11, 0.18, 46.92
hatte, 11, 0.18, 47.10
hat, 11, 0.18, 47.28
gar, 11, 0.18, 47.47
durch, 11, 0.18, 47.65
dieser, 11, 0.18, 47.83
diesem, 11, 0.18, 48.02
machen, 10, 0.17, 48.18
ja, 10, 0.17, 48.35
eine, 10, 0.17, 48.52
da, 10, 0.17, 48.68
bin, 10, 0.17, 48.85
wieder, 9, 0.15, 49.00
warum, 9, 0.15, 49.15
sah, 9, 0.15, 49.30
sagte, 9, 0.15, 49.45
sagen, 9, 0.15, 49.60
ohne, 9, 0.15, 49.75
müssen, 9, 0.15, 49.90
meine, 9, 0.15, 50.05
lassen, 9, 0.15, 50.20
ins, 9, 0.15, 50.35
gesicht, 9, 0.15, 50.50
alle, 9, 0.15, 50.65
abend, 9, 0.15, 50.80
wollte, 8, 0.13, 50.93
wenig, 8, 0.13, 51.07
vielleicht, 8, 0.13, 51.20
kommen, 8, 0.13, 51.33
immer, 8, 0.13, 51.47
ihre, 8, 0.13, 51.60
ihn, 8, 0.13, 51.73
hände, 8, 0.13, 51.87
hause, 8, 0.13, 52.00
geht, 8, 0.13, 52.13
gegen, 8, 0.13, 52.27
gasse, 8, 0.13, 52.40
ganz, 8, 0.13, 52.53
endlich, 8, 0.13, 52.67
du, 8, 0.13, 52.80
bis, 8, 0.13, 52.93
weil, 7, 0.12, 53.05
sehe, 7, 0.12, 53.17
oder, 7, 0.12, 53.28
müde, 7, 0.12, 53.40
mädchen, 7, 0.12, 53.52
mann, 7, 0.12, 53.63
luft, 7, 0.12, 53.75
leute, 7, 0.12, 53.87
können, 7, 0.12, 53.98
