word, count, percent, cum
, 858, 3.94, 3.94
der, 832, 3.82, 7.77
die, 798, 3.67, 11.44
und, 558, 2.57, 14.00
in, 378, 1.74, 15.74
zu, 297, 1.37, 17.11
des, 294, 1.35, 18.46
ist, 287, 1.32, 19.78
den, 266, 1.22, 21.00
das, 255, 1.17, 22.17
ein, 213, 0.98, 23.15
nicht, 208, 0.96, 24.11
sich, 202, 0.93, 25.04
so, 198, 0.91, 25.95
es, 196, 0.90, 26.85
von, 184, 0.85, 27.69
als, 170, 0.78, 28.48
dem, 165, 0.76, 29.23
sie, 156, 0.72, 29.95
eine, 149, 0.68, 30.64
mit, 142, 0.65, 31.29
daß, 140, 0.64, 31.93
im, 138, 0.63, 32.57
man, 132, 0.61, 33.17
auf, 123, 0.57, 33.74
er, 121, 0.56, 34.30
wie, 107, 0.49, 34.79
auch, 105, 0.48, 35.27
nur, 104, 0.48, 35.75
aber, 104, 0.48, 36.23
oder, 96, 0.44, 36.67
einer, 95, 0.44, 37.10
wenn, 90, 0.41, 37.52
durch, 85, 0.39, 37.91
wir, 81, 0.37, 38.28
ist,, 78, 0.36, 38.64
wird, 76, 0.35, 38.99
bei, 71, 0.33, 39.32
einen, 70, 0.32, 39.64
an, 70, 0.32, 39.96
diese, 69, 0.32, 40.28
um, 68, 0.31, 40.59
mehr, 68, 0.31, 40.90
also, 65, 0.30, 41.20
aus, 64, 0.29, 41.50
einem, 59, 0.27, 41.77
immer, 57, 0.26, 42.03
für, 55, 0.25, 42.28
muß, 54, 0.25, 42.53
werden, 53, 0.24, 42.77
sind, 53, 0.24, 43.02
kann, 53, 0.24, 43.26
wo, 52, 0.24, 43.50
nach, 51, 0.23, 43.73
sondern, 49, 0.23, 43.96
dieser, 48, 0.22, 44.18
zur, 43, 0.20, 44.38
ihm, 43, 0.20, 44.58
verteidigung, 42, 0.19, 44.77
krieg, 41, 0.19, 44.96
zum, 40, 0.18, 45.14
kriege, 40, 0.18, 45.32
ohne, 39, 0.18, 45.50
ganz, 39, 0.18, 45.68
was, 38, 0.17, 45.86
unter, 38, 0.17, 46.03
selbst, 38, 0.17, 46.21
sein, 38, 0.17, 46.38
eines, 38, 0.17, 46.56
alle, 37, 0.17, 46.73
seiner, 36, 0.17, 46.89
noch, 36, 0.17, 47.06
kräfte, 36, 0.17, 47.22
dies, 36, 0.17, 47.39
denn, 36, 0.17, 47.55
große, 35, 0.16, 47.72
sehr, 34, 0.16, 47.87
je, 34, 0.16, 48.03
ihn, 34, 0.16, 48.18
ist., 33, 0.15, 48.34
vom, 31, 0.14, 48.48
weil, 30, 0.14, 48.62
