word, count, percent, cum
ich, 889, 2.72, 2.72
und, 749, 2.29, 5.01
der, 700, 2.14, 7.15
die, 634, 1.94, 9.09
in, 447, 1.37, 10.46
zu, 436, 1.33, 11.79
es, 425, 1.30, 13.09
war, 402, 1.23, 14.32
er, 378, 1.16, 15.48
nicht, 353, 1.08, 16.56
wir, 348, 1.06, 17.62
ein, 331, 1.01, 18.64
das, 327, 1.00, 19.64
den, 303, 0.93, 20.56
so, 280, 0.86, 21.42
mir, 277, 0.85, 22.27
, 274, 0.84, 23.11
auf, 262, 0.80, 23.91
sich, 259, 0.79, 24.70
von, 256, 0.78, 25.48
mit, 254, 0.78, 26.26
hatte, 247, 0.76, 27.02
ist, 243, 0.74, 27.76
daß, 224, 0.69, 28.44
dem, 223, 0.68, 29.13
noch, 207, 0.63, 29.76
einen, 192, 0.59, 30.35
an, 189, 0.58, 30.92
aber, 185, 0.57, 31.49
man, 184, 0.56, 32.05
wie, 183, 0.56, 32.61
eine, 179, 0.55, 33.16
uns, 163, 0.50, 33.66
im, 163, 0.50, 34.16
einem, 162, 0.50, 34.65
mich, 156, 0.48, 35.13
ganz, 154, 0.47, 35.60
nach, 150, 0.46, 36.06
sie, 139, 0.43, 36.49
mein, 127, 0.39, 36.87
als, 127, 0.39, 37.26
auch, 124, 0.38, 37.64
da, 116, 0.35, 38.00
sehr, 108, 0.33, 38.33
aus, 105, 0.32, 38.65
am, 105, 0.32, 38.97
ihn, 104, 0.32, 39.29
denn, 104, 0.32, 39.61
bei, 101, 0.31, 39.92
ihm, 97, 0.30, 40.21
etwas, 94, 0.29, 40.50
wieder, 92, 0.28, 40.78
waren, 92, 0.28, 41.06
hat, 91, 0.28, 41.34
engländer, 91, 0.28, 41.62
um, 90, 0.28, 41.89
vor, 88, 0.27, 42.16
zum, 86, 0.26, 42.43
nun, 84, 0.26, 42.68
habe, 84, 0.26, 42.94
mehr, 83, 0.25, 43.19
einer, 82, 0.25, 43.45
durch, 82, 0.25, 43.70
nur, 79, 0.24, 43.94
schon, 76, 0.23, 44.17
konnte, 76, 0.23, 44.40
für, 76, 0.23, 44.64
des, 76, 0.23, 44.87
über, 75, 0.23, 45.10
meine, 73, 0.22, 45.32
also, 72, 0.22, 45.54
hatten, 71, 0.22, 45.76
meiner, 67, 0.20, 45.96
doch, 67, 0.20, 46.17
wurde, 66, 0.20, 46.37
gegner, 66, 0.20, 46.57
–, 65, 0.20, 46.77
meinem, 65, 0.20, 46.97
sein, 62, 0.19, 47.16
mal, 60, 0.18, 47.34
kam, 59, 0.18, 47.52
kann, 57, 0.17, 47.70
haben, 57, 0.17, 47.87
wenn, 56, 0.17, 48.04
was, 55, 0.17, 48.21
immer, 55, 0.17, 48.38
wohl, 53, 0.16, 48.54
unsere, 53, 0.16, 48.70
sind, 53, 0.16, 48.87
natürlich, 53, 0.16, 49.03
flugzeug, 53, 0.16, 49.19
meinen, 51, 0.16, 49.35
hätte, 50, 0.15, 49.50
dann, 50, 0.15, 49.65
bruder, 50, 0.15, 49.81
bis, 50, 0.15, 49.96
wo, 49, 0.15, 50.11
sah, 49, 0.15, 50.26
eines, 47, 0.14, 50.40
viel, 46, 0.14, 50.54
unter, 46, 0.14, 50.68
boelcke, 45, 0.14, 50.82
mußte, 44, 0.13, 50.96
nichts, 43, 0.13, 51.09
tage, 41, 0.13, 51.21
muß, 41, 0.13, 51.34
maschine, 41, 0.13, 51.46
machte, 41, 0.13, 51.59
ja, 41, 0.13, 51.71
kommt, 40, 0.12, 51.84
hinter, 40, 0.12, 51.96
etwa, 40, 0.12, 52.08
einmal, 40, 0.12, 52.20
zeit, 39, 0.12, 52.32
selbst, 39, 0.12, 52.44
meter, 39, 0.12, 52.56
jetzt, 39, 0.12, 52.68
ab, 39, 0.12, 52.80
wird, 38, 0.12, 52.92
oder, 38, 0.12, 53.03
eigentlich, 38, 0.12, 53.15
dort, 38, 0.12, 53.27
anderen, 38, 0.12, 53.38
können, 37, 0.11, 53.50
jeder, 37, 0.11, 53.61
einige, 37, 0.11, 53.72
zur, 36, 0.11, 53.83
sehen, 36, 0.11, 53.94
seine, 35, 0.11, 54.05
ersten, 35, 0.11, 54.16
bereits, 35, 0.11, 54.26
zwei, 34, 0.10, 54.37
werden, 33, 0.10, 54.47
plötzlich, 33, 0.10, 54.57
nie, 33, 0.10, 54.67
höhe, 33, 0.10, 54.77
fliegen, 33, 0.10, 54.87
eben, 33, 0.10, 54.97
würde, 32, 0.10, 55.07
seinem, 32, 0.10, 55.17
male, 32, 0.10, 55.27
schnell, 31, 0.09, 55.36
kommen, 31, 0.09, 55.46
gut, 31, 0.09, 55.55
flog, 31, 0.09, 55.65
erste, 31, 0.09, 55.74
erst, 31, 0.09, 55.84
bin, 31, 0.09, 55.93
wäre, 30, 0.09, 56.02
später, 29, 0.09, 56.11
nächsten, 29, 0.09, 56.20
motor, 29, 0.09, 56.29
gleich, 29, 0.09, 56.38
gar, 29, 0.09, 56.47
front, 29, 0.09, 56.55
dieser, 29, 0.09, 56.64
darauf, 29, 0.09, 56.73
weiter, 28, 0.09, 56.82
sondern, 28, 0.09, 56.90
kampf, 28, 0.09, 56.99
gerade, 28, 0.09, 57.07
genau, 28, 0.09, 57.16
fünfzig, 28, 0.09, 57.25
alles, 28, 0.09, 57.33
