word, count, percent, cum
die, 626, 3.24, 3.24
und, 621, 3.22, 6.46
er, 439, 2.27, 8.73
der, 424, 2.20, 10.92
zu, 346, 1.79, 12.72
sich, 308, 1.59, 14.31
sie, 302, 1.56, 15.87
nicht, 257, 1.33, 17.21
in, 247, 1.28, 18.48
den, 245, 1.27, 19.75
war, 231, 1.20, 20.95
gregor, 206, 1.07, 22.02
es, 195, 1.01, 23.02
mit, 193, 1.00, 24.02
das, 191, 0.99, 25.01
auf, 176, 0.91, 25.92
aber, 168, 0.87, 26.79
dem, 165, 0.85, 27.65
hatte, 153, 0.79, 28.44
ein, 138, 0.71, 29.16
daß, 134, 0.69, 29.85
als, 132, 0.68, 30.53
auch, 111, 0.57, 31.11
schwester, 106, 0.55, 31.66
nur, 100, 0.52, 32.17
an, 100, 0.52, 32.69
wie, 98, 0.51, 33.20
, 97, 0.50, 33.70
im, 95, 0.49, 34.19
von, 94, 0.49, 34.68
schon, 93, 0.48, 35.16
so, 92, 0.48, 35.64
ihn, 90, 0.47, 36.10
vater, 89, 0.46, 36.56
um, 88, 0.46, 37.02
mutter, 86, 0.45, 37.47
noch, 83, 0.43, 37.89
des, 81, 0.42, 38.31
ihm, 78, 0.40, 38.72
aus, 75, 0.39, 39.11
nun, 74, 0.38, 39.49
denn, 67, 0.35, 39.84
man, 66, 0.34, 40.18
zimmer, 65, 0.34, 40.51
für, 62, 0.32, 40.84
eine, 62, 0.32, 41.16
ich, 61, 0.32, 41.47
wenn, 60, 0.31, 41.78
ihr, 58, 0.30, 42.08
tür, 55, 0.28, 42.37
ganz, 55, 0.28, 42.65
doch, 55, 0.28, 42.94
da, 55, 0.28, 43.22
zum, 54, 0.28, 43.50
dann, 54, 0.28, 43.78
einen, 52, 0.27, 44.05
vor, 51, 0.26, 44.32
wieder, 49, 0.25, 44.57
sagte, 47, 0.24, 44.81
seine, 46, 0.24, 45.05
mehr, 45, 0.23, 45.28
konnte, 45, 0.23, 45.52
ist, 45, 0.23, 45.75
hätte, 45, 0.23, 45.98
gregors, 45, 0.23, 46.22
sein, 44, 0.23, 46.44
jetzt, 43, 0.22, 46.67
nach, 41, 0.21, 46.88
sah, 40, 0.21, 47.09
ohne, 40, 0.21, 47.29
mußte, 40, 0.21, 47.50
gar, 40, 0.21, 47.71
über, 39, 0.20, 47.91
diese, 39, 0.20, 48.11
durch, 38, 0.20, 48.31
bei, 38, 0.20, 48.50
seinem, 37, 0.19, 48.70
alles, 37, 0.19, 48.89
ja, 36, 0.19, 49.07
seiner, 35, 0.18, 49.25
einem, 35, 0.18, 49.44
während, 34, 0.18, 49.61
kopf, 34, 0.18, 49.79
vielleicht, 33, 0.17, 49.96
ihre, 33, 0.17, 50.13
herr, 33, 0.17, 50.30
wohl, 32, 0.17, 50.47
waren, 32, 0.17, 50.63
unter, 31, 0.16, 50.79
immer, 31, 0.16, 50.95
fast, 31, 0.16, 51.11
einer, 31, 0.16, 51.27
zeit, 30, 0.16, 51.43
wollte, 30, 0.16, 51.58
samsa, 30, 0.16, 51.74
hatten, 30, 0.16, 51.89
alle, 30, 0.16, 52.05
was, 28, 0.14, 52.20
selbst, 28, 0.14, 52.34
ihrer, 28, 0.14, 52.49
familie, 28, 0.14, 52.63
zur, 27, 0.14, 52.77
wenig, 27, 0.14, 52.91
seinen, 27, 0.14, 53.05
seines, 26, 0.13, 53.18
sehr, 26, 0.13, 53.32
prokurist, 26, 0.13, 53.45
bett, 26, 0.13, 53.59
eltern, 25, 0.13, 53.72
einmal, 25, 0.13, 53.85
am, 25, 0.13, 53.98
wurde, 24, 0.12, 54.10
nichts, 24, 0.12, 54.22
können, 24, 0.12, 54.35
würde, 23, 0.12, 54.47
vom, 23, 0.12, 54.59
sofort, 22, 0.11, 54.70
oder, 22, 0.11, 54.82
haben, 22, 0.11, 54.93
zwei, 21, 0.11, 55.04
wäre, 21, 0.11, 55.15
werden, 21, 0.11, 55.26
gleich, 21, 0.11, 55.36
bedienerin, 21, 0.11, 55.47
anderen, 21, 0.11, 55.58
wir, 20, 0.10, 55.68
viel, 20, 0.10, 55.79
sessel, 20, 0.10, 55.89
schien, 20, 0.10, 56.00
machen, 20, 0.10, 56.10
fenster, 20, 0.10, 56.20
erst, 20, 0.10, 56.31
daran, 20, 0.10, 56.41
bis, 20, 0.10, 56.51
sogar, 19, 0.10, 56.61
rief, 19, 0.10, 56.71
machte, 19, 0.10, 56.81
kleinen, 19, 0.10, 56.91
ins, 19, 0.10, 57.01
habe, 19, 0.10, 57.10
dort, 19, 0.10, 57.20
dachte, 19, 0.10, 57.30
beim, 19, 0.10, 57.40
rücken, 18, 0.09, 57.49
lassen, 18, 0.09, 57.59
kein, 18, 0.09, 57.68
hand, 18, 0.09, 57.77
grete, 18, 0.09, 57.86
ging, 18, 0.09, 57.96
augen, 18, 0.09, 58.05
zurück, 17, 0.09, 58.14
wohnung, 17, 0.09, 58.23
trotzdem, 17, 0.09, 58.32
sondern, 17, 0.09, 58.40
sollte, 17, 0.09, 58.49
mir, 17, 0.09, 58.58
ließ, 17, 0.09, 58.67
langsam, 17, 0.09, 58.76
kanapee, 17, 0.09, 58.84
hin, 17, 0.09, 58.93
hier, 17, 0.09, 59.02
ganze, 17, 0.09, 59.11
etwas, 17, 0.09, 59.20
essen, 17, 0.09, 59.28
dieses, 17, 0.09, 59.37
dieser, 17, 0.09, 59.46
boden, 17, 0.09, 59.55
zuerst, 16, 0.08, 59.63
zimmerherren, 16, 0.08, 59.71
tisch, 16, 0.08, 59.80
sehen, 16, 0.08, 59.88
ob, 16, 0.08, 59.96
kaum, 16, 0.08, 60.04
kam, 16, 0.08, 60.13
ihnen, 16, 0.08, 60.21
hielt, 16, 0.08, 60.29
her, 16, 0.08, 60.38
früher, 16, 0.08, 60.46
frauen, 16, 0.08, 60.54
blieb, 16, 0.08, 60.62
stimme, 15, 0.08, 60.70
sei, 15, 0.08, 60.78
prokuristen, 15, 0.08, 60.86
natürlich, 15, 0.08, 60.94
lange, 15, 0.08, 61.01
