index, word, count, percent, cum
1, и, 464, 2.52, 2.52
2, в, 442, 2.40, 4.92
3, И, 376, 2.04, 6.96
4, , 351, 1.91, 8.87
5, не, 203, 1.10, 9.97
6, —, 161, 0.87, 10.85
7, на, 156, 0.85, 11.69
8, с, 136, 0.74, 12.43
9, В, 136, 0.74, 13.17
10, Ты, 131, 0.71, 13.88
11, я, 111, 0.60, 14.48
12, Но, 98, 0.53, 15.02
13, ст, 87, 0.47, 15.49
14, :, 87, 0.47, 15.96
15, Не, 86, 0.47, 16.43
16, Как, 86, 0.47, 16.90
17, гл, 83, 0.45, 17.35
18, от, 79, 0.43, 17.78
19, Его, 78, 0.42, 18.20
20, как, 73, 0.40, 18.60
21, мне, 71, 0.39, 18.98
22, Что, 67, 0.36, 19.35
23, к, 66, 0.36, 19.70
24, Он, 66, 0.36, 20.06
25, все, 64, 0.35, 20.41
26, что, 62, 0.34, 20.75
27, О, 62, 0.34, 21.08
28, всех, 60, 0.33, 21.41
29, его, 57, 0.31, 21.72
30, На, 57, 0.31, 22.03
31, Бог, 57, 0.31, 22.34
32, ты, 54, 0.29, 22.63
33, Так, 51, 0.28, 22.91
34, во, 50, 0.27, 23.18
35, меня, 49, 0.27, 23.45
36, дух, 49, 0.27, 23.71
37, о, 48, 0.26, 23.97
38, мой, 47, 0.26, 24.23
39, их, 44, 0.24, 24.47
40, сей, 38, 0.21, 24.67
41, есть, 38, 0.21, 24.88
42, он, 36, 0.20, 25.07
43, От, 35, 0.19, 25.26
44, Да, 34, 0.18, 25.45
45, свой, 33, 0.18, 25.63
46, же, 33, 0.18, 25.81
47, так, 31, 0.17, 25.98
48, по, 31, 0.17, 26.14
49, из, 31, 0.17, 26.31
50, ж, 31, 0.17, 26.48
51, Я, 31, 0.17, 26.65
52, К, 31, 0.17, 26.82
53, свет, 30, 0.16, 26.98
54, Кто, 30, 0.16, 27.14
55, Когда, 30, 0.16, 27.31
56, Чтоб, 29, 0.16, 27.46
57, Тебя, 29, 0.16, 27.62
58, А, 29, 0.16, 27.78
59, лишь, 28, 0.15, 27.93
60, был, 27, 0.15, 28.08
61, Тебе, 27, 0.15, 28.22
62, С, 27, 0.15, 28.37
63, быть, 26, 0.14, 28.51
64, По, 26, 0.14, 28.65
65, Бога, 26, 0.14, 28.79
66, сердце, 25, 0.14, 28.93
67, себе, 25, 0.14, 29.07
68, ли, 25, 0.14, 29.20
69, да, 25, 0.14, 29.34
70, коль, 24, 0.13, 29.47
71, жизни, 24, 0.13, 29.60
72, то, 23, 0.12, 29.72
73, там, 23, 0.12, 29.85
74, мир, 23, 0.12, 29.97
75, глас, 23, 0.12, 30.10
76, всем, 23, 0.12, 30.22
77, Тобой, 23, 0.12, 30.35
78, небес, 22, 0.12, 30.47
79, ль, 22, 0.12, 30.59
80, кто, 22, 0.12, 30.71
81, за, 22, 0.12, 30.83
82, Твой, 22, 0.12, 30.95
83, своих, 21, 0.11, 31.06
84, без, 21, 0.11, 31.17
85, но, 20, 0.11, 31.28
86, нет, 20, 0.11, 31.39
87, день, 20, 0.11, 31.50
88, б, 20, 0.11, 31.61
89, Боже, 20, 0.11, 31.72
90, «И, 20, 0.11, 31.83
91, себя, 19, 0.10, 31.93
92, моя, 19, 0.10, 32.03
93, моих, 19, 0.10, 32.13
94, бы, 19, 0.10, 32.24
95, будет, 19, 0.10, 32.34
96, Творец, 19, 0.10, 32.44
97, Господь, 19, 0.10, 32.55
98, средь, 18, 0.10, 32.65
99, может, 18, 0.10, 32.74
100, моей, 18, 0.10, 32.84
101, вы, 18, 0.10, 32.94
102, велик, 18, 0.10, 33.04
103, Твоих, 18, 0.10, 33.13
104, Там, 18, 0.10, 33.23
105, Се, 18, 0.10, 33.33
106, Коль, 18, 0.10, 33.43
107, Иоан, 18, 0.10, 33.53
108, чтоб, 17, 0.09, 33.62
109, тебя, 17, 0.09, 33.71
110, пред, 17, 0.09, 33.80
111, Ему, 17, 0.09, 33.89
112, Где, 17, 0.09, 33.99
113, человек, 16, 0.09, 34.07
114, солнце, 16, 0.09, 34.16
115, нас, 16, 0.09, 34.25
116, гром, 16, 0.09, 34.33
117, Из, 16, 0.09, 34.42
118, твой, 15, 0.08, 34.50
119, смерти, 15, 0.08, 34.58
120, сердца, 15, 0.08, 34.67
121, нем, 15, 0.08, 34.75
122, мы, 15, 0.08, 34.83
123, души, 15, 0.08, 34.91
124, а, 15, 0.08, 34.99
125, Матф, 15, 0.08, 35.07
126, тот, 14, 0.08, 35.15
127, тем, 14, 0.08, 35.23
128, смерть, 14, 0.08, 35.30
129, путь, 14, 0.08, 35.38
130, под, 14, 0.08, 35.45
131, ним, 14, 0.08, 35.53
132, него, 14, 0.08, 35.61
133, им, 14, 0.08, 35.68
134, жить, 14, 0.08, 35.76
135, жизнь, 14, 0.08, 35.83
136, если, 14, 0.08, 35.91
137, душа, 14, 0.08, 35.99
138, грудь, 14, 0.08, 36.06
139, вкруг, 14, 0.08, 36.14
140, Все, 14, 0.08, 36.21
141, Во, 14, 0.08, 36.29
142, уж, 13, 0.07, 36.36
143, своим, 13, 0.07, 36.43
144, ни, 13, 0.07, 36.50
145, мысль, 13, 0.07, 36.57
146, мрак, 13, 0.07, 36.64
147, здесь, 13, 0.07, 36.71
148, звезд, 13, 0.07, 36.78
149, весь, 13, 0.07, 36.85
150, ввек, 13, 0.07, 36.92
151, Твое, 13, 0.07, 37.00
152, тех, 12, 0.07, 37.06
153, тебе, 12, 0.07, 37.13
154, твоих, 12, 0.07, 37.19
155, суд, 12, 0.07, 37.26
156, сонм, 12, 0.07, 37.32
157, сил, 12, 0.07, 37.39
158, се, 12, 0.07, 37.45
159, небо, 12, 0.07, 37.52
160, над, 12, 0.07, 37.58
161, ему, 12, 0.07, 37.65
162, вселенной, 12, 0.07, 37.71
163, взор, 12, 0.07, 37.78
164, бездны, 12, 0.07, 37.84
165, То, 12, 0.07, 37.91
166, Твоей, 12, 0.07, 37.97
167, Нет, 12, 0.07, 38.04
168, Без, 12, 0.07, 38.10
169, царя, 11, 0.06, 38.16
170, пал, 11, 0.06, 38.22
171, ней, 11, 0.06, 38.28
172, мог, 11, 0.06, 38.34
173, землю, 11, 0.06, 38.40
174, вновь, 11, 0.06, 38.46
175, век, 11, 0.06, 38.52
176, блеск, 11, 0.06, 38.58
177, благ, 11, 0.06, 38.64
178, Творцу, 11, 0.06, 38.70
179, Средь, 11, 0.06, 38.76
180, За, 11, 0.06, 38.82
181, чем, 10, 0.05, 38.87
182, царь, 10, 0.05, 38.93
183, том, 10, 0.05, 38.98
184, собой, 10, 0.05, 39.04
185, сквозь, 10, 0.05, 39.09
186, сих, 10, 0.05, 39.15
187, нам, 10, 0.05, 39.20
188, мира, 10, 0.05, 39.25
189, миг, 10, 0.05, 39.31
190, луч, 10, 0.05, 39.36
191, имя, 10, 0.05, 39.42
192, злых, 10, 0.05, 39.47
193, душу, 10, 0.05, 39.53
194, духом, 10, 0.05, 39.58
195, где, 10, 0.05, 39.64
196, вижу, 10, 0.05, 39.69
197, арфы, 10, 0.05, 39.74
198, Чтобы, 10, 0.05, 39.80
199, Творца, 10, 0.05, 39.85
200, Него, 10, 0.05, 39.91
201, Мой, 10, 0.05, 39.96
202, Мне, 10, 0.05, 40.02
203, Лишь, 10, 0.05, 40.07
204, Ко, 10, 0.05, 40.12
205, Истина, 10, 0.05, 40.18
206, Иль, 10, 0.05, 40.23
207, Всех, 10, 0.05, 40.29
208, Ах, 10, 0.05, 40.34
209, яко, 9, 0.05, 40.39
210, чудес, 9, 0.05, 40.44
211, у, 9, 0.05, 40.49
212, тьме, 9, 0.05, 40.54
213, только, 9, 0.05, 40.59
214, твоя, 9, 0.05, 40.63
215, тварь, 9, 0.05, 40.68
216, слез, 9, 0.05, 40.73
217, радость, 9, 0.05, 40.78
218, правду, 9, 0.05, 40.83
219, покой, 9, 0.05, 40.88
220, перед, 9, 0.05, 40.93
221, они, 9, 0.05, 40.98
222, наш, 9, 0.05, 41.03
223, море, 9, 0.05, 41.07
224, мои, 9, 0.05, 41.12
225, иль, 9, 0.05, 41.17
226, земля, 9, 0.05, 41.22
227, земли, 9, 0.05, 41.27
228, дни, 9, 0.05, 41.32
229, для, 9, 0.05, 41.37
230, дела, 9, 0.05, 41.42
231, всей, 9, 0.05, 41.47
232, бездн, 9, 0.05, 41.51
233, Ты—, 9, 0.05, 41.56
234, Твои, 9, 0.05, 41.61
235, Сей, 9, 0.05, 41.66
236, Нем, 9, 0.05, 41.71
237, НА, 9, 0.05, 41.76
238, Велик, 9, 0.05, 41.81
239, Богу, 9, 0.05, 41.86
240, Блажен, 9, 0.05, 41.91
241, чрез, 8, 0.04, 41.95
242, ум, 8, 0.04, 41.99
243, тобой, 8, 0.04, 42.04
244, суть, 8, 0.04, 42.08
245, сон, 8, 0.04, 42.12
246, со, 8, 0.04, 42.17
247, смертный, 8, 0.04, 42.21
248, сердцем, 8, 0.04, 42.25
249, свою, 8, 0.04, 42.30
250, света, 8, 0.04, 42.34
251, раздается, 8, 0.04, 42.38
252, них, 8, 0.04, 42.43
253, небеса, 8, 0.04, 42.47
254, неба, 8, 0.04, 42.51
255, лице, 8, 0.04, 42.56
256, ко, 8, 0.04, 42.60
257, зрит, 8, 0.04, 42.64
258, душ, 8, 0.04, 42.69
259, до, 8, 0.04, 42.73
260, грусть, 8, 0.04, 42.77
261, всегда, 8, 0.04, 42.82
262, враг, 8, 0.04, 42.86
263, вод, 8, 0.04, 42.90
264, власть, 8, 0.04, 42.95
265, вечно, 8, 0.04, 42.99
266, веры, 8, 0.04, 43.03
267, буду, 8, 0.04, 43.08
268, ада, 8, 0.04, 43.12
269, Увы, 8, 0.04, 43.17
270, Тогда, 8, 0.04, 43.21
271, Твою, 8, 0.04, 43.25
272, Себя, 8, 0.04, 43.30
273, Ни, 8, 0.04, 43.34
274, Им, 8, 0.04, 43.38
275, Дух, 8, 0.04, 43.43
276, Божий, 8, 0.04, 43.47
277, туч, 7, 0.04, 43.51
278, те, 7, 0.04, 43.55
279, твердь, 7, 0.04, 43.58
280, страстей, 7, 0.04, 43.62
281, солнца, 7, 0.04, 43.66
282, собою, 7, 0.04, 43.70
283, слух, 7, 0.04, 43.74
284, славы, 7, 0.04, 43.77
285, славу, 7, 0.04, 43.81
286, слава, 7, 0.04, 43.85
287, сила, 7, 0.04, 43.89
288, сердец, 7, 0.04, 43.93
289, святое, 7, 0.04, 43.96
290, свои, 7, 0.04, 44.00
291, сам, 7, 0.04, 44.04
292, прах, 7, 0.04, 44.08
293, правды, 7, 0.04, 44.12
294, пой, 7, 0.04, 44.15
295, поет, 7, 0.04, 44.19
296, подобно, 7, 0.04, 44.23
297, плоть, 7, 0.04, 44.27
298, песнь, 7, 0.04, 44.31
299, образ, 7, 0.04, 44.34
300, никто, 7, 0.04, 44.38
301, можно, 7, 0.04, 44.42
302, милость, 7, 0.04, 44.46
303, любовь, 7, 0.04, 44.50
304, льет, 7, 0.04, 44.53
305, лира, 7, 0.04, 44.57
306, июля, 7, 0.04, 44.61
307, еще, 7, 0.04, 44.65
308, ее, 7, 0.04, 44.69
309, душою, 7, 0.04, 44.72
310, душой, 7, 0.04, 44.76
311, духов, 7, 0.04, 44.80
312, дней, 7, 0.04, 44.84
313, горы, 7, 0.04, 44.88
314, гор, 7, 0.04, 44.91
315, высот, 7, 0.04, 44.95
316, всю, 7, 0.04, 44.99
317, вселенна, 7, 0.04, 45.03
318, время, 7, 0.04, 45.07
319, внутрь, 7, 0.04, 45.10
320, благость, 7, 0.04, 45.14
321, Твоим, 7, 0.04, 45.18
322, Сын, 7, 0.04, 45.22
323, Под, 7, 0.04, 45.26
324, Отец, 7, 0.04, 45.29
325, Над, 7, 0.04, 45.33
326, Есть, 7, 0.04, 45.37
327, Господи, 7, 0.04, 45.41
328, Воскликни, 7, 0.04, 45.45
329, Вкруг, 7, 0.04, 45.48
330, Весь, 7, 0.04, 45.52
331, Будь, 7, 0.04, 45.56
332, ;, 7, 0.04, 45.60
333, чувств, 6, 0.03, 45.63
334, царства, 6, 0.03, 45.66
335, хоть, 6, 0.03, 45.70
336, хвалу, 6, 0.03, 45.73
337, уст, 6, 0.03, 45.76
338, уже, 6, 0.03, 45.79
339, той, 6, 0.03, 45.83
340, того, 6, 0.03, 45.86
341, сын, 6, 0.03, 45.89
342, судеб, 6, 0.03, 45.92
343, строга, 6, 0.03, 45.96
344, след, 6, 0.03, 45.99
345, сладкострунной, 6, 0.03, 46.02
346, своем, 6, 0.03, 46.05
347, своей, 6, 0.03, 46.09
348, своего, 6, 0.03, 46.12
349, свое, 6, 0.03, 46.15
350, свете, 6, 0.03, 46.18
351, правда, 6, 0.03, 46.22
352, полн, 6, 0.03, 46.25
353, плоти, 6, 0.03, 46.28
354, персть, 6, 0.03, 46.32
