word, count, percent, cum
в, 10, 4.26, 4.26
, 7, 2.98, 7.23
табак, 4, 1.70, 8.94
И, 4, 1.70, 10.64
не, 3, 1.28, 11.91
на, 3, 1.28, 13.19
и, 3, 1.28, 14.47
У, 3, 1.28, 15.74
Пускай, 3, 1.28, 17.02
у, 2, 0.85, 17.87
ты, 2, 0.85, 18.72
мечта, 2, 0.85, 19.57
ль, 2, 0.85, 20.43
коей, 2, 0.85, 21.28
если, 2, 0.85, 22.13
На, 2, 0.85, 22.98
Возможно, 2, 0.85, 23.83
Ах, 2, 0.85, 24.68
А, 2, 0.85, 25.53
ясминов, 1, 0.43, 25.96
я, 1, 0.43, 26.38
этого, 1, 0.43, 26.81
шестидесяти, 1, 0.43, 27.23
шалевый, 1, 0.43, 27.66
что, 1, 0.43, 28.09
цветок, 1, 0.43, 28.51
утренний, 1, 0.43, 28.94
утреннего, 1, 0.43, 29.36
усатый, 1, 0.43, 29.79
уже, 1, 0.43, 30.21
уж, 1, 0.43, 30.64
трубки, 1, 0.43, 31.06
траву, 1, 0.43, 31.49
толченый, 1, 0.43, 31.91
теле, 1, 0.43, 32.34
тебео, 1, 0.43, 32.77
твои, 1, 0.43, 33.19
твоей, 1, 0.43, 33.62
тайных, 1, 0.43, 34.04
табаком, 1, 0.43, 34.47
табакерке, 1, 0.43, 34.89
сушит, 1, 0.43, 35.32
странная, 1, 0.43, 35.74
старой, 1, 0.43, 36.17
согнувшися, 1, 0.43, 36.60
сна, 1, 0.43, 37.02
сладость, 1, 0.43, 37.45
сидя, 1, 0.43, 37.87
сероватый, 1, 0.43, 38.30
сердечном, 1, 0.43, 38.72
седой, 1, 0.43, 39.15
свой, 1, 0.43, 39.57
сам, 1, 0.43, 40.00
с, 1, 0.43, 40.43
рукой, 1, 0.43, 40.85
роз, 1, 0.43, 41.28
разум, 1, 0.43, 41.70
пыл, 1, 0.43, 42.13
пушистый, 1, 0.43, 42.55
пустая, 1, 0.43, 42.98
профессор, 1, 0.43, 43.40
прикуску, 1, 0.43, 43.83
прелесть, 1, 0.43, 44.26
прелестная, 1, 0.43, 44.68
прелестей, 1, 0.43, 45.11
прежде, 1, 0.43, 45.53
превращену, 1, 0.43, 45.96
превращенный, 1, 0.43, 46.38
прах, 1, 0.43, 46.81
порошок, 1, 0.43, 47.23
попивает, 1, 0.43, 47.66
попасться, 1, 0.43, 48.09
подставке, 1, 0.43, 48.51
под, 1, 0.43, 48.94
платок, 1, 0.43, 49.36
печали, 1, 0.43, 49.79
персты, 1, 0.43, 50.21
перемена, 1, 0.43, 50.64
пенковой, 1, 0.43, 51.06
отчего, 1, 0.43, 51.49
отставке, 1, 0.43, 51.91
отпуску, 1, 0.43, 52.34
остатком, 1, 0.43, 52.77
окна, 1, 0.43, 53.19
обонять, 1, 0.43, 53.62
о, 1, 0.43, 54.04
нюхала, 1, 0.43, 54.47
нравится, 1, 0.43, 54.89
носила, 1, 0.43, 55.32
нос, 1, 0.43, 55.74
но, 1, 0.43, 56.17
никак, 1, 0.43, 56.60
нет, 1, 0.43, 57.02
нескромны, 1, 0.43, 57.45
нежные, 1, 0.43, 57.87
насажденных, 1, 0.43, 58.30
наклоненных, 1, 0.43, 58.72
мраморной, 1, 0.43, 59.15
морщин, 1, 0.43, 59.57
молится, 1, 0.43, 60.00
может, 1, 0.43, 60.43
могли, 1, 0.43, 60.85
мог, 1, 0.43, 61.28
младой, 1, 0.43, 61.70
милая, 1, 0.43, 62.13
места, 1, 0.43, 62.55
любишь, 1, 0.43, 62.98
любила, 1, 0.43, 63.40
любви, 1, 0.43, 63.83
лилей, 1, 0.43, 64.26
лет, 1, 0.43, 64.68
леса, 1, 0.43, 65.11
латинщину, 1, 0.43, 65.53
ландышей, 1, 0.43, 65.96
красот, 1, 0.43, 66.38
красавица, 1, 0.43, 66.81
которых, 1, 0.43, 67.23
которая, 1, 0.43, 67.66
кафедре, 1, 0.43, 68.09
иссохшею, 1, 0.43, 68.51
злая, 1, 0.43, 68.94
зелену, 1, 0.43, 69.36
зевает, 1, 0.43, 69.79
заточеньи, 1, 0.43, 70.21
завистливая, 1, 0.43, 70.64
забывает, 1, 0.43, 71.06
за, 1, 0.43, 71.49
дым, 1, 0.43, 71.91
дугой, 1, 0.43, 72.34
драгун, 1, 0.43, 72.77
до, 1, 0.43, 73.19
дна, 1, 0.43, 73.62
длинный, 1, 0.43, 74.04
держится, 1, 0.43, 74.47
день, 1, 0.43, 74.89
даже, 1, 0.43, 75.32
грудь, 1, 0.43, 75.74
груди, 1, 0.43, 76.17
граций, 1, 0.43, 76.60
горы, 1, 0.43, 77.02
гордо, 1, 0.43, 77.45
гонит, 1, 0.43, 77.87
глубокий, 1, 0.43, 78.30
всякий, 1, 0.43, 78.72
вся, 1, 0.43, 79.15
всегда, 1, 0.43, 79.57
все, 1, 0.43, 80.00
вредную, 1, 0.43, 80.43
восхищеньи, 1, 0.43, 80.85
воображенья, 1, 0.43, 81.28
вожделенья, 1, 0.43, 81.70
во, 1, 0.43, 82.13
вместо, 1, 0.43, 82.55
вместилище, 1, 0.43, 82.98
вкусе, 1, 0.43, 83.40
взоры, 1, 0.43, 83.83
верным, 1, 0.43, 84.26
быть, 1, 0.43, 84.68
будет, 1, 0.43, 85.11
божественных, 1, 0.43, 85.53
без, 1, 0.43, 85.96
б, 1, 0.43, 86.38
Я, 1, 0.43, 86.81
Эрот, 1, 0.43, 87.23
Чтоб, 1, 0.43, 87.66
Чаек, 1, 0.43, 88.09
Тюльпанов, 1, 0.43, 88.51
Ты, 1, 0.43, 88.94
Тогда, 1, 0.43, 89.36
Так, 1, 0.43, 89.79
Судьба, 1, 0.43, 90.21
Стаканы, 1, 0.43, 90.64
С, 1, 0.43, 91.06
Рассыпался, 1, 0.43, 91.49
Раскашлявшись, 1, 0.43, 91.91
Поутру, 1, 0.43, 92.34
Пихает, 1, 0.43, 92.77
Открыть, 1, 0.43, 93.19
Но, 1, 0.43, 93.62
Не, 1, 0.43, 94.04
Красавице, 1, 0.43, 94.47
Которых, 1, 0.43, 94.89
Климена, 1, 0.43, 95.32
Какая, 1, 0.43, 95.74
Искусством, 1, 0.43, 96.17
Из, 1, 0.43, 96.60
Злословит, 1, 0.43, 97.02
Запрятал, 1, 0.43, 97.45
Душистых, 1, 0.43, 97.87
До, 1, 0.43, 98.30
Геттингена, 1, 0.43, 98.72
Вперив, 1, 0.43, 99.15
В, 1, 0.43, 99.57
Амуром, 1, 0.43, 100.00
