word, count, percent, cum
и, 258, 4.20, 4.20
въ, 199, 3.24, 7.45
, 137, 2.23, 9.68
на, 114, 1.86, 11.53
съ, 60, 0.98, 12.51
къ, 48, 0.78, 13.29
изъ, 40, 0.65, 13.95
по, 36, 0.59, 14.53
о, 31, 0.51, 15.04
стр, 28, 0.46, 15.49
что, 25, 0.41, 15.90
какъ, 25, 0.41, 16.31
были, 25, 0.41, 16.72
для, 24, 0.39, 17.11
не, 23, 0.37, 17.48
г, 23, 0.37, 17.86
Рис, 23, 0.37, 18.23
онъ, 22, 0.36, 18.59
же, 22, 0.36, 18.95
его, 22, 0.36, 19.31
Московіи, 21, 0.34, 19.65
—, 20, 0.33, 19.97
ихъ, 19, 0.31, 20.28
Корба, 19, 0.31, 20.59
illustration:, 19, 0.31, 20.90
они, 18, 0.29, 21.20
или, 18, 0.29, 21.49
за, 18, 0.29, 21.78
то, 16, 0.26, 22.04
а, 16, 0.26, 22.30
былъ, 15, 0.24, 22.55
Россіи, 14, 0.23, 22.78
Въ, 14, 0.23, 23.00
нихъ, 13, 0.21, 23.22
Петра, 13, 0.21, 23.43
Олеарій, 13, 0.21, 23.64
было, 12, 0.20, 23.84
чтобы, 11, 0.18, 24.01
у, 11, 0.18, 24.19
Его, 11, 0.18, 24.37
это, 10, 0.16, 24.54
только, 10, 0.16, 24.70
при, 10, 0.16, 24.86
отъ, 10, 0.16, 25.02
жизни, 10, 0.16, 25.19
Олеарія, 10, 0.16, 25.35
На, 10, 0.16, 25.51
Корбъ, 10, 0.16, 25.68
i, 10, 0.16, 25.84
de, 10, 0.16, 26.00
но, 9, 0.15, 26.15
книги, 9, 0.15, 26.30
иностранцевъ, 9, 0.15, 26.44
была, 9, 0.15, 26.59
ОЛЕАРІЙ, 9, 0.15, 26.74
olearius, 9, 0.15, 26.88
три, 8, 0.13, 27.01
того, 8, 0.13, 27.14
такъ, 8, 0.13, 27.27
князя, 8, 0.13, 27.40
ея, 8, 0.13, 27.53
два, 8, 0.13, 27.66
года, 8, 0.13, 27.79
болѣе, 8, 0.13, 27.92
Герберштейнъ, 8, 0.13, 28.05
le, 8, 0.13, 28.19
illustration, 8, 0.13, 28.32
этотъ, 7, 0.11, 28.43
этомъ, 7, 0.11, 28.54
со, 7, 0.11, 28.66
русскій, 7, 0.11, 28.77
русскихъ, 7, 0.11, 28.89
однако, 7, 0.11, 29.00
нимъ, 7, 0.11, 29.11
насъ, 7, 0.11, 29.23
народа, 7, 0.11, 29.34
напримѣръ, 7, 0.11, 29.46
который, 7, 0.11, 29.57
князь, 7, 0.11, 29.68
исторіи, 7, 0.11, 29.80
во, 7, 0.11, 29.91
в, 7, 0.11, 30.03
Дневникъ, 7, 0.11, 30.14
Дневника, 7, 0.11, 30.25
Герберштейна, 7, 0.11, 30.37
эти, 6, 0.10, 30.47
уже, 6, 0.10, 30.56
также, 6, 0.10, 30.66
стрѣльцовъ, 6, 0.10, 30.76
собою, 6, 0.10, 30.86
рисунковъ, 6, 0.10, 30.95
почти, 6, 0.10, 31.05
посольства, 6, 0.10, 31.15
послѣ, 6, 0.10, 31.25
мы, 6, 0.10, 31.35
которыя, 6, 0.10, 31.44
имѣется, 6, 0.10, 31.54
изданія, 6, 0.10, 31.64
до, 6, 0.10, 31.74
двѣ, 6, 0.10, 31.83
говоритъ, 6, 0.10, 31.93
гдѣ, 6, 0.10, 32.03
всѣхъ, 6, 0.10, 32.13
всѣ, 6, 0.10, 32.23
время, 6, 0.10, 32.32
