word, count, percent, cum
в, 144, 3.89, 3.89
и, 141, 3.81, 7.70
, 74, 2.00, 9.71
не, 41, 1.11, 10.81
на, 41, 1.11, 11.92
что, 30, 0.81, 12.73
с, 29, 0.78, 13.52
за, 25, 0.68, 14.19
женщин, 24, 0.65, 14.84
как, 20, 0.54, 15.38
к, 19, 0.51, 15.90
женщины, 17, 0.46, 16.36
для, 17, 0.46, 16.82
В, 17, 0.46, 17.27
время, 16, 0.43, 17.71
ее, 15, 0.41, 18.11
Но, 15, 0.41, 18.52
по, 14, 0.38, 18.90
от, 14, 0.38, 19.28
о, 14, 0.38, 19.65
войны, 14, 0.38, 20.03
только, 13, 0.35, 20.38
то, 13, 0.35, 20.74
стран, 12, 0.32, 21.06
из, 12, 0.32, 21.38
движение, 12, 0.32, 21.71
уже, 11, 0.30, 22.01
их, 11, 0.30, 22.30
же, 11, 0.30, 22.60
всех, 11, 0.30, 22.90
борьбы, 11, 0.30, 23.20
работниц, 10, 0.27, 23.47
партии, 10, 0.27, 23.74
движения, 10, 0.27, 24.01
г, 10, 0.27, 24.28
все, 10, 0.27, 24.55
а, 10, 0.27, 24.82
Сербии, 10, 0.27, 25.09
И, 10, 0.27, 25.36
среди, 9, 0.24, 25.60
своим, 9, 0.24, 25.84
очень, 9, 0.24, 26.09
но, 9, 0.24, 26.33
которые, 9, 0.24, 26.57
конференции, 9, 0.24, 26.82
жизни, 9, 0.24, 27.06
до, 9, 0.24, 27.30
во, 9, 0.24, 27.55
после, 8, 0.22, 27.76
организации, 8, 0.22, 27.98
ни, 8, 0.22, 28.20
лет, 8, 0.22, 28.41
женского, 8, 0.22, 28.63
борьбу, 8, 0.22, 28.85
«Еднакость», 8, 0.22, 29.06
этой, 7, 0.19, 29.25
чтобы, 7, 0.19, 29.44
социализма, 7, 0.19, 29.63
себе, 7, 0.19, 29.82
свой, 7, 0.19, 30.01
свое, 7, 0.19, 30.20
революции, 7, 0.19, 30.39
рабочего, 7, 0.19, 30.58
они, 7, 0.19, 30.77
об, 7, 0.19, 30.95
других, 7, 0.19, 31.14
Югославии, 7, 0.19, 31.33
участие, 6, 0.16, 31.49
себя, 6, 0.16, 31.66
она, 6, 0.16, 31.82
начала, 6, 0.16, 31.98
который, 6, 0.16, 32.14
женщина, 6, 0.16, 32.31
дело, 6, 0.16, 32.47
года, 6, 0.16, 32.63
была, 6, 0.16, 32.79
борьбе, 6, 0.16, 32.95
больше, 6, 0.16, 33.12
Интернационал, 6, 0.16, 33.28
Австралии, 6, 0.16, 33.44
этого, 5, 0.14, 33.58
это, 5, 0.14, 33.71
так, 5, 0.14, 33.85
социалистических, 5, 0.14, 33.98
со, 5, 0.14, 34.12
ряды, 5, 0.14, 34.25
резолюции, 5, 0.14, 34.39
рабочих, 5, 0.14, 34.52
рабочий, 5, 0.14, 34.66
против, 5, 0.14, 34.79
промышленности, 5, 0.14, 34.93
полное, 5, 0.14, 35.06
освобождение, 5, 0.14, 35.20
обычай, 5, 0.14, 35.33
необходимость, 5, 0.14, 35.47
ней, 5, 0.14, 35.60
много, 5, 0.14, 35.74
массы, 5, 0.14, 35.87
которое, 5, 0.14, 36.01
которая, 5, 0.14, 36.14
коммунистической, 5, 0.14, 36.28
класса, 5, 0.14, 36.42
имеет, 5, 0.14, 36.55
изза, 5, 0.14, 36.69
женщинработниц, 5, 0.14, 36.82
ей, 5, 0.14, 36.96
должны, 5, 0.14, 37.09
делегация, 5, 0.14, 37.23
году, 5, 0.14, 37.36
всего, 5, 0.14, 37.50
времени, 5, 0.14, 37.63
вести, 5, 0.14, 37.77
были, 5, 0.14, 37.90
бы, 5, 0.14, 38.04
более, 5, 0.14, 38.17
Это, 5, 0.14, 38.31
Они, 5, 0.14, 38.44
Она, 5, 0.14, 38.58
являются, 4, 0.11, 38.69
этом, 4, 0.11, 38.79
тысяч, 4, 0.11, 38.90
течение, 4, 0.11, 39.01
тех, 4, 0.11, 39.12
такое, 4, 0.11, 39.23
социальной, 4, 0.11, 39.33
социальное, 4, 0.11, 39.44
социалистическое, 4, 0.11, 39.55
совершенно, 4, 0.11, 39.66
свою, 4, 0.11, 39.77
рабства, 4, 0.11, 39.88
работница, 4, 0.11, 39.98
прав, 4, 0.11, 40.09
политических, 4, 0.11, 40.20
под, 4, 0.11, 40.31
партия, 4, 0.11, 40.42
партий, 4, 0.11, 40.52
организованных, 4, 0.11, 40.63
организаций, 4, 0.11, 40.74
образом, 4, 0.11, 40.85
