word, count, percent, cum
, 5406, 20.00, 20.00
в, 1038, 3.84, 23.84
руб, 920, 3.40, 27.24
Сколько, 787, 2.91, 30.15
по, 696, 2.57, 32.73
и, 546, 2.02, 34.75
коп, 525, 1.94, 36.69
аршин, 348, 1.29, 37.98
на, 345, 1.28, 39.25
он, 273, 1.01, 40.26
купил, 221, 0.82, 41.08
я, 203, 0.75, 41.83
сколько, 191, 0.71, 42.54
за, 188, 0.70, 43.23
каждый, 186, 0.69, 43.92
;, 181, 0.67, 44.59
стоит, 168, 0.62, 45.21
Я, 162, 0.60, 45.81
у, 160, 0.59, 46.40
фунтов, 155, 0.57, 46.98
день, 150, 0.55, 47.53
меня, 130, 0.48, 48.01
В, 118, 0.44, 48.45
На, 114, 0.42, 48.87
из, 107, 0.40, 49.27
дней, 103, 0.38, 49.65
год, 100, 0.37, 50.02
а, 97, 0.36, 50.38
верст, 96, 0.36, 50.73
десятин, 89, 0.33, 51.06
саженей, 85, 0.31, 51.37
Из, 83, 0.31, 51.68
часов, 82, 0.30, 51.98
У, 82, 0.30, 52.29
сукна, 81, 0.30, 52.59
лет, 81, 0.30, 52.89
было, 81, 0.30, 53.19
месяц, 79, 0.29, 53.48
вершков, 79, 0.29, 53.77
бумаги, 79, 0.29, 54.06
больше, 78, 0.29, 54.35
—, 77, 0.28, 54.64
фунт, 77, 0.28, 54.92
барыша, 76, 0.28, 55.20
За, 70, 0.26, 55.46
чем, 68, 0.25, 55.71
пудов, 68, 0.25, 55.96
аршина, 67, 0.25, 56.21
чаю, 64, 0.24, 56.45
час, 64, 0.24, 56.69
столько, 63, 0.23, 56.92
лотов, 62, 0.23, 57.15
если, 59, 0.22, 57.37
длиною, 58, 0.21, 57.58
года, 57, 0.21, 57.79
раз, 56, 0.21, 58.00
заплатил, 56, 0.21, 58.21
другой, 56, 0.21, 58.41
фунта, 54, 0.20, 58.61
дороже, 54, 0.20, 58.81
чтобы, 53, 0.20, 59.01
сахару, 53, 0.20, 59.21
него, 52, 0.19, 59.40
нужно, 51, 0.19, 59.59
они, 50, 0.18, 59.77
будет, 50, 0.18, 59.96
его, 49, 0.18, 60.14
каждую, 48, 0.18, 60.32
Через, 48, 0.18, 60.49
руб;, 47, 0.17, 60.67
продал, 46, 0.17, 60.84
овса, 46, 0.17, 61.01
минут, 46, 0.17, 61.18
денег, 46, 0.17, 61.35
версты, 46, 0.17, 61.52
получил, 45, 0.17, 61.68
деньги, 45, 0.17, 61.85
четвертей, 44, 0.16, 62.01
ситца, 44, 0.16, 62.18
вдвое, 44, 0.16, 62.34
Если, 44, 0.16, 62.50
с, 43, 0.16, 62.66
времени, 43, 0.16, 62.82
По, 43, 0.16, 62.98
Один, 43, 0.16, 63.14
пуд, 42, 0.16, 63.29
листов, 42, 0.16, 63.45
коп;, 42, 0.16, 63.60
золотник, 42, 0.16, 63.76
втрое, 42, 0.16, 63.91
шириною, 41, 0.15, 64.07
каждому, 40, 0.15, 64.21
же, 40, 0.15, 64.36
неделю, 39, 0.14, 64.51
продавал, 38, 0.14, 64.65
мне, 38, 0.14, 64.79
пуда, 36, 0.13, 64.92
пошло, 36, 0.13, 65.05
сажени, 35, 0.13, 65.18
земли, 35, 0.13, 65.31
до, 35, 0.13, 65.44
версту, 35, 0.13, 65.57
орехов, 34, 0.13, 65.70
она, 34, 0.13, 65.82
их, 34, 0.13, 65.95
вместе, 34, 0.13, 66.07
весит, 34, 0.13, 66.20
Лавочник, 34, 0.13, 66.33
сделаны, 33, 0.12, 66.45
получает, 33, 0.12, 66.57
леса, 33, 0.12, 66.69
