word, count, percent, cum
que, 20608, 5.41, 5.41
de, 18194, 4.77, 10.18
y, 18152, 4.76, 14.94
la, 10360, 2.72, 17.66
a, 9796, 2.57, 20.23
en, 8205, 2.15, 22.38
el, 8199, 2.15, 24.53
no, 6210, 1.63, 26.16
los, 4744, 1.24, 27.40
se, 4690, 1.23, 28.63
con, 4183, 1.10, 29.73
por, 3894, 1.02, 30.75
las, 3465, 0.91, 31.66
lo, 3459, 0.91, 32.57
le, 3398, 0.89, 33.46
su, 3352, 0.88, 34.34
don, 2646, 0.69, 35.03
del, 2490, 0.65, 35.69
me, 2344, 0.61, 36.30
como, 2261, 0.59, 36.89
es, 2101, 0.55, 37.45
yo, 2056, 0.54, 37.99
más, 2022, 0.53, 38.52
quijote, 1998, 0.52, 39.04
sancho, 1989, 0.52, 39.56
si, 1956, 0.51, 40.07
un, 1937, 0.51, 40.58
al, 1733, 0.45, 41.04
mi, 1701, 0.45, 41.48
para, 1447, 0.38, 41.86
porque, 1392, 0.37, 42.23
ni, 1375, 0.36, 42.59
dijo, 1348, 0.35, 42.94
una, 1328, 0.35, 43.29
él, 1234, 0.32, 43.61
tan, 1233, 0.32, 43.94
o, 1212, 0.32, 44.26
todo, 1161, 0.30, 44.56
sin, 1155, 0.30, 44.86
ser, 1050, 0.28, 45.14
sus, 1049, 0.28, 45.41
ha, 1049, 0.28, 45.69
así, 1047, 0.27, 45.96
señor, 1039, 0.27, 46.24
bien, 1032, 0.27, 46.51
había, 1029, 0.27, 46.78
pero, 1007, 0.26, 47.04
respondió, 1004, 0.26, 47.30
merced, 889, 0.23, 47.54
esto, 874, 0.23, 47.77
pues, 854, 0.22, 47.99
vuestra, 848, 0.22, 48.21
todos, 804, 0.21, 48.42
ya, 778, 0.20, 48.63
cuando, 753, 0.20, 48.83
era, 745, 0.20, 49.02
te, 724, 0.19, 49.21
cual, 704, 0.18, 49.40
sino, 693, 0.18, 49.58
dos, 675, 0.18, 49.76
donde, 672, 0.18, 49.93
caballero, 648, 0.17, 50.10
fue, 642, 0.17, 50.27
este, 640, 0.17, 50.44
esta, 620, 0.16, 50.60
quien, 614, 0.16, 50.76
ella, 579, 0.15, 50.91
qué, 565, 0.15, 51.06
decir, 544, 0.14, 51.20
he, 536, 0.14, 51.34
muy, 535, 0.14, 51.49
aunque, 530, 0.14, 51.62
hacer, 529, 0.14, 51.76
dios, 518, 0.14, 51.90
otra, 508, 0.13, 52.03
señora, 502, 0.13, 52.16
aquí, 500, 0.13, 52.29
mí, 497, 0.13, 52.43
