word, count, percent, cum
de, 2924, 5.83, 5.83
la, 1928, 3.84, 9.68
y, 1797, 3.58, 13.26
a, 1390, 2.77, 16.03
que, 1353, 2.70, 18.73
el, 1346, 2.68, 21.41
en, 1140, 2.27, 23.69
se, 775, 1.55, 25.23
los, 764, 1.52, 26.75
un, 730, 1.46, 28.21
no, 533, 1.06, 29.27
con, 515, 1.03, 30.30
una, 493, 0.98, 31.28
por, 475, 0.95, 32.23
del, 469, 0.94, 33.17
las, 451, 0.90, 34.06
al, 415, 0.83, 34.89
su, 314, 0.63, 35.52
era, 305, 0.61, 36.13
le, 273, 0.54, 36.67
lo, 247, 0.49, 37.16
me, 228, 0.45, 37.62
más, 209, 0.42, 38.03
como, 205, 0.41, 38.44
para, 200, 0.40, 38.84
leguía, 193, 0.38, 39.23
yo, 187, 0.37, 39.60
había, 185, 0.37, 39.97
mi, 168, 0.34, 40.30
casa, 168, 0.34, 40.64
aviraneta, 167, 0.33, 40.97
hombre, 165, 0.33, 41.30
pello, 158, 0.32, 41.62
usted, 154, 0.31, 41.92
pero, 151, 0.30, 42.22
es, 146, 0.29, 42.52
dos, 145, 0.29, 42.80
tenía, 138, 0.28, 43.08
sus, 119, 0.24, 43.32
si, 114, 0.23, 43.54
estaba, 113, 0.23, 43.77
cuando, 105, 0.21, 43.98
entre, 104, 0.21, 44.19
don, 102, 0.20, 44.39
muy, 97, 0.19, 44.58
después, 96, 0.19, 44.77
, 96, 0.19, 44.97
sin, 94, 0.19, 45.15
este, 94, 0.19, 45.34
esta, 91, 0.18, 45.52
o, 86, 0.17, 45.69
pueblo, 85, 0.17, 45.86
sí, 82, 0.16, 46.03
nos, 80, 0.16, 46.19
él, 77, 0.15, 46.34
uno, 75, 0.15, 46.49
puerta, 75, 0.15, 46.64
fué, 75, 0.15, 46.79
gran, 70, 0.14, 46.93
ha, 69, 0.14, 47.07
donde, 69, 0.14, 47.20
laguardia, 68, 0.14, 47.34
desde, 68, 0.14, 47.47
poco, 67, 0.13, 47.61
zurbano, 66, 0.13, 47.74
todo, 66, 0.13, 47.87
tiempo, 66, 0.13, 48.00
hasta, 66, 0.13, 48.13
corito, 65, 0.13, 48.26
hacer, 62, 0.12, 48.39
ya, 60, 0.12, 48.51
¿qué, 59, 0.12, 48.63
te, 59, 0.12, 48.74
entonces, 58, 0.12, 48.86
ver, 57, 0.11, 48.97
san, 57, 0.11, 49.09
qué, 57, 0.11, 49.20
calle, 57, 0.11, 49.31
unos, 56, 0.11, 49.42
porque, 56, 0.11, 49.54
mismo, 56, 0.11, 49.65
allí, 54, 0.11, 49.76
también, 53, 0.11, 49.86
gente, 53, 0.11, 49.97
dijo, 53, 0.11, 50.07
veces, 52, 0.10, 50.18
tan, 50, 0.10, 50.28
día, 50, 0.10, 50.38
aquí, 50, 0.10, 50.48
todos, 49, 0.10, 50.57
ella, 49, 0.10, 50.67
luego, 48, 0.10, 50.77
aquel, 46, 0.09, 50.86
tres, 45, 0.09, 50.95
pues, 45, 0.09, 51.04
esto, 45, 0.09, 51.13
españa, 45, 0.09, 51.22
eran, 45, 0.09, 51.31
zamarra, 44, 0.09, 51.39
padre, 44, 0.09, 51.48
hay, 44, 0.09, 51.57
vida, 43, 0.09, 51.66
ser, 43, 0.09, 51.74
nada, 43, 0.09, 51.83
juan, 43, 0.09, 51.91
hombres, 43, 0.09, 52.00
he, 43, 0.09, 52.08
