word, count, percent, cum
de, 6217, 6.23, 6.23
la, 4152, 4.16, 10.40
que, 3176, 3.18, 13.58
el, 2866, 2.87, 16.45
y, 2706, 2.71, 19.17
a, 2315, 2.32, 21.49
los, 2281, 2.29, 23.78
en, 2201, 2.21, 25.98
con, 1618, 1.62, 27.60
su, 1544, 1.55, 29.15
las, 1273, 1.28, 30.43
un, 1067, 1.07, 31.50
se, 1027, 1.03, 32.53
por, 947, 0.95, 33.48
del, 901, 0.90, 34.38
no, 873, 0.88, 35.26
al, 856, 0.86, 36.11
sus, 812, 0.81, 36.93
una, 790, 0.79, 37.72
como, 790, 0.79, 38.51
para, 671, 0.67, 39.19
le, 566, 0.57, 39.75
lo, 540, 0.54, 40.29
había, 470, 0.47, 40.77
más, 446, 0.45, 41.21
era, 427, 0.43, 41.64
si, 424, 0.43, 42.07
pero, 392, 0.39, 42.46
sin, 307, 0.31, 42.77
él, 284, 0.28, 43.05
don, 235, 0.24, 43.29
fermín, 231, 0.23, 43.52
es, 218, 0.22, 43.74
cuando, 217, 0.22, 43.96
dupont, 206, 0.21, 44.16
jerez, 199, 0.20, 44.36
me, 198, 0.20, 44.56
todo, 192, 0.19, 44.75
todos, 182, 0.18, 44.94
salvatierra, 166, 0.17, 45.10
habían, 164, 0.16, 45.27
ya, 160, 0.16, 45.43
rafael, 159, 0.16, 45.59
sobre, 155, 0.16, 45.74
dos, 155, 0.16, 45.90
ojos, 147, 0.15, 46.04
casa, 147, 0.15, 46.19
vida, 143, 0.14, 46.33
les, 143, 0.14, 46.48
eran, 143, 0.14, 46.62
después, 140, 0.14, 46.76
hombres, 137, 0.14, 46.90
yo, 136, 0.14, 47.04
hombre, 136, 0.14, 47.17
te, 135, 0.14, 47.31
o, 130, 0.13, 47.44
ella, 130, 0.13, 47.57
tierra, 129, 0.13, 47.70
luz, 126, 0.13, 47.82
hasta, 126, 0.13, 47.95
gente, 121, 0.12, 48.07
estaba, 121, 0.12, 48.19
noche, 120, 0.12, 48.31
entre, 119, 0.12, 48.43
mi, 118, 0.12, 48.55
sólo, 117, 0.12, 48.67
esto, 115, 0.12, 48.78
vez, 111, 0.11, 48.89
gran, 111, 0.11, 49.01
señor, 110, 0.11, 49.12
pablo, 110, 0.11, 49.23
ellos, 110, 0.11, 49.34
aquel, 109, 0.11, 49.45
cortijo, 106, 0.11, 49.55
ser, 105, 0.11, 49.66
tenía, 104, 0.10, 49.76
antes, 103, 0.10, 49.87
vino, 101, 0.10, 49.97
señorito, 100, 0.10, 50.07
qué, 100, 0.10, 50.17
luis, 99, 0.10, 50.27
ver, 98, 0.10, 50.36
mismo, 97, 0.10, 50.46
este, 96, 0.10, 50.56
toda, 95, 0.10, 50.65
familia, 95, 0.10, 50.75
esta, 94, 0.09, 50.84
aperador, 93, 0.09, 50.94
porque, 92, 0.09, 51.03
tan, 91, 0.09, 51.12
maría, 91, 0.09, 51.21
amo, 91, 0.09, 51.30
otros, 90, 0.09, 51.39
otro, 90, 0.09, 51.48
algo, 88, 0.09, 51.57
parecía, 87, 0.09, 51.66
día, 87, 0.09, 51.75
ciudad, 87, 0.09, 51.83
unos, 86, 0.09, 51.92
tú, 86, 0.09, 52.00
podía, 86, 0.09, 52.09
mientras, 84, 0.08, 52.18
todas, 83, 0.08, 52.26
fernando, 82, 0.08, 52.34
aquella, 82, 0.08, 52.42
siempre, 81, 0.08, 52.50
montenegro, 81, 0.08, 52.59
bajo, 81, 0.08, 52.67
padre, 80, 0.08, 52.75
ante, 80, 0.08, 52.83
voz, 79, 0.08, 52.91
hacía, 78, 0.08, 52.98
bien, 78, 0.08, 53.06
trabajo, 76, 0.08, 53.14
marchamalo, 76, 0.08, 53.21
viejo, 73, 0.07, 53.29
campo, 73, 0.07, 53.36
manos, 72, 0.07, 53.43
mano, 71, 0.07, 53.50
cabeza, 71, 0.07, 53.58
mundo, 69, 0.07, 53.65
otra, 68, 0.07, 53.71
dios, 68, 0.07, 53.78
allí, 68, 0.07, 53.85
ricos, 67, 0.07, 53.92
aún, 67, 0.07, 53.98
miedo, 66, 0.07, 54.05
años, 66, 0.07, 54.12
ni, 65, 0.07, 54.18
gañanía, 65, 0.07, 54.25
fuese, 64, 0.06, 54.31
cada, 63, 0.06, 54.37
viña, 62, 0.06, 54.44
veces, 62, 0.06, 54.50
mejor, 62, 0.06, 54.56
iba, 62, 0.06, 54.62
tu, 61, 0.06, 54.68
palabras, 61, 0.06, 54.74
gesto, 61, 0.06, 54.81
fue, 61, 0.06, 54.87
capataz, 61, 0.06, 54.93
uno, 60, 0.06, 54.99
sol, 60, 0.06, 55.05
tiempo, 59, 0.06, 55.11
hablaba, 59, 0.06, 55.17
nada, 58, 0.06, 55.23
muchos, 58, 0.06, 55.28
trabajadores, 57, 0.06, 55.34
eso, 57, 0.06, 55.40
además, 57, 0.06, 55.45
pobre, 56, 0.06, 55.51
ha, 56, 0.06, 55.57
nos, 55, 0.06, 55.62
mujeres, 55, 0.06, 55.68
hecho, 55, 0.06, 55.73
desde, 55, 0.06, 55.79
hacer, 54, 0.05, 55.84
donde, 54, 0.05, 55.90
cuerpo, 54, 0.05, 55.95
casi, 54, 0.05, 56.00
ahora, 54, 0.05, 56.06
sangre, 53, 0.05, 56.11
menos, 53, 0.05, 56.16
joven, 53, 0.05, 56.22
e, 53, 0.05, 56.27
también, 52, 0.05, 56.32
tal, 52, 0.05, 56.38
apenas, 52, 0.05, 56.43
suelo, 51, 0.05, 56.48
silencio, 51, 0.05, 56.53
pobres, 51, 0.05, 56.58
días, 51, 0.05, 56.63
cara, 51, 0.05, 56.68
poco, 50, 0.05, 56.73
parte, 50, 0.05, 56.78
horas, 50, 0.05, 56.83
hablar, 50, 0.05, 56.88
estaban, 50, 0.05, 56.93
visto, 49, 0.05, 56.98
tenían, 49, 0.05, 57.03
pues, 49, 0.05, 57.08
pan, 49, 0.05, 57.13
muy, 49, 0.05, 57.18
momento, 49, 0.05, 57.23
matanzuela, 49, 0.05, 57.28
quería, 48, 0.05, 57.33
lado, 48, 0.05, 57.37
grandes, 48, 0.05, 57.42
fuerza, 48, 0.05, 57.47
escritorio, 48, 0.05, 57.52
amigos, 48, 0.05, 57.57
_zarandilla_, 48, 0.05, 57.61
sierra, 47, 0.05, 57.66
puerta, 47, 0.05, 57.71
muerte, 47, 0.05, 57.76
estos, 47, 0.05, 57.80
son, 46, 0.05, 57.85
hijo, 46, 0.05, 57.90
unas, 45, 0.05, 57.94
está, 45, 0.05, 57.99
_alcaparrón_, 45, 0.05, 58.03
¿qué, 44, 0.04, 58.07
tanto, 44, 0.04, 58.12
muerto, 44, 0.04, 58.16
gentes, 44, 0.04, 58.21
buena, 44, 0.04, 58.25
¡y, 43, 0.04, 58.29
tarde, 43, 0.04, 58.34
mucho, 43, 0.04, 58.38
miseria, 43, 0.04, 58.42
iban, 43, 0.04, 58.47
cierta, 43, 0.04, 58.51
así, 43, 0.04, 58.55
señores, 42, 0.04, 58.60
muchas, 42, 0.04, 58.64
hizo, 42, 0.04, 58.68
cierto, 42, 0.04, 58.72
aquí, 42, 0.04, 58.76
alma, 42, 0.04, 58.81
soy, 41, 0.04, 58.85
quiero, 41, 0.04, 58.89
mujer, 41, 0.04, 58.93
mal, 41, 0.04, 58.97
fin, 41, 0.04, 59.01
muchacha, 40, 0.04, 59.05
he, 40, 0.04, 59.09
durante, 40, 0.04, 59.13
bodega, 40, 0.04, 59.17
aire, 40, 0.04, 59.21
éste, 39, 0.04, 59.25
primo, 39, 0.04, 59.29
podían, 39, 0.04, 59.33
medio, 39, 0.04, 59.37
hambre, 39, 0.04, 59.41
frente, 39, 0.04, 59.45
antiguo, 39, 0.04, 59.49
amigo, 39, 0.04, 59.52
algunos, 39, 0.04, 59.56
nadie, 38, 0.04, 59.60
ir, 38, 0.04, 59.64
gañanes, 38, 0.04, 59.68
daba, 38, 0.04, 59.72
brazos, 38, 0.04, 59.75
vieja, 37, 0.04, 59.79
pasar, 37, 0.04, 59.83
pa, 37, 0.04, 59.87
otras, 37, 0.04, 59.90
nuevo, 37, 0.04, 59.94
hermana, 37, 0.04, 59.98
compañeros, 37, 0.04, 60.01
aquellos, 37, 0.04, 60.05
muchacho, 36, 0.04, 60.09
jefe, 36, 0.04, 60.12
estas, 36, 0.04, 60.16
cosas, 36, 0.04, 60.20
vista, 35, 0.04, 60.23
viendo, 35, 0.04, 60.27
presidio, 35, 0.04, 60.30
llegar, 35, 0.04, 60.34
juanón, 35, 0.04, 60.37
aunque, 35, 0.04, 60.41
agua, 35, 0.04, 60.44
Él, 34, 0.03, 60.48
madre, 34, 0.03, 60.51
lejos, 34, 0.03, 60.54
hacían, 34, 0.03, 60.58
torno, 33, 0.03, 60.61
pensamiento, 33, 0.03, 60.64
pecho, 33, 0.03, 60.68
mayor, 33, 0.03, 60.71
marqués, 33, 0.03, 60.74
hay, 33, 0.03, 60.78
abajo, 33, 0.03, 60.81
volver, 32, 0.03, 60.84
sido, 32, 0.03, 60.87
salir, 32, 0.03, 60.91
pie, 32, 0.03, 60.94
padrino, 32, 0.03, 60.97
nunca, 32, 0.03, 61.00
cerca, 32, 0.03, 61.03
_marquesita_, 32, 0.03, 61.07
¿y, 31, 0.03, 61.10
¡qué, 31, 0.03, 61.13
viñas, 31, 0.03, 61.16
vinos, 31, 0.03, 61.19
triste, 31, 0.03, 61.22
tres, 31, 0.03, 61.25
pasado, 31, 0.03, 61.28
muchachas, 31, 0.03, 61.31
hermano, 31, 0.03, 61.35
han, 31, 0.03, 61.38
hacia, 31, 0.03, 61.41
gitano, 31, 0.03, 61.44
fuesen, 31, 0.03, 61.47
cómo, 31, 0.03, 61.50
contra, 31, 0.03, 61.53
veía, 30, 0.03, 61.56
tiene, 30, 0.03, 61.59
seguía, 30, 0.03, 61.62
san, 30, 0.03, 61.65
respeto, 30, 0.03, 61.68
paso, 30, 0.03, 61.71
mirada, 30, 0.03, 61.74
mesa, 30, 0.03, 61.77
campos, 30, 0.03, 61.80
algunas, 30, 0.03, 61.83
alegría, 30, 0.03, 61.86
