word, count, percent, cum
, 1452, 4.59, 4.59
el, 1029, 3.25, 7.84
la, 982, 3.10, 10.95
de, 814, 2.57, 13.52
to, 682, 2.16, 15.67
a, 553, 1.75, 17.42
the, 551, 1.74, 19.16
y, 418, 1.32, 20.48
los, 396, 1.25, 21.74
en, 390, 1.23, 22.97
que, 336, 1.06, 24.03
of, 309, 0.98, 25.01
las, 253, 0.80, 25.81
platero, 245, 0.77, 26.58
se, 234, 0.74, 27.32
un, 184, 0.58, 27.90
no, 174, 0.55, 28.45
al, 168, 0.53, 28.98
por, 157, 0.50, 29.48
su, 155, 0.49, 29.97
in, 155, 0.49, 30.46
con, 135, 0.43, 30.89
and, 132, 0.42, 31.30
is, 126, 0.40, 31.70
del, 118, 0.37, 32.07
footnote, 110, 0.35, 32.42
:, 110, 0.35, 32.77
¿qué, 109, 0.34, 33.11
una, 104, 0.33, 33.44
qué, 90, 0.28, 33.73
lo, 88, 0.28, 34.01
es, 85, 0.27, 34.27
como, 85, 0.27, 34.54
niños, 82, 0.26, 34.80
he, 68, 0.21, 35.02
as, 68, 0.21, 35.23
le, 67, 0.21, 35.44
be, 65, 0.21, 35.65
cuando, 61, 0.19, 35.84
yo, 57, 0.18, 36.02
with, 57, 0.18, 36.20
amo, 55, 0.17, 36.38
para, 54, 0.17, 36.55
i, 54, 0.17, 36.72
used, 53, 0.17, 36.88
that, 53, 0.17, 37.05
¿cómo, 51, 0.16, 37.21
más, 50, 0.16, 37.37
by, 47, 0.15, 37.52
or, 46, 0.15, 37.67
me, 45, 0.14, 37.81
his, 45, 0.14, 37.95
of_, 42, 0.13, 38.08
él, 41, 0.13, 38.21
was, 41, 0.13, 38.34
it, 41, 0.13, 38.47
iii, 40, 0.13, 38.60
sus, 38, 0.12, 38.72
era, 38, 0.12, 38.84
sin, 37, 0.12, 38.96
si, 37, 0.12, 39.07
ver, 36, 0.11, 39.19
repaso, 36, 0.11, 39.30
o, 36, 0.11, 39.41
_dim, 36, 0.11, 39.53
ii, 35, 0.11, 39.64
at, 35, 0.11, 39.75
an, 35, 0.11, 39.86
verbos, 34, 0.11, 39.97
vd, 34, 0.11, 40.07
todo, 34, 0.11, 40.18
on, 34, 0.11, 40.29
cuestionario, 33, 0.10, 40.39
_a_, 33, 0.10, 40.50
sobre, 32, 0.10, 40.60
gramÁtica, 32, 0.10, 40.70
for, 32, 0.10, 40.80
¿a, 31, 0.10, 40.90
they, 31, 0.10, 41.00
ha, 30, 0.09, 41.09
frases, 30, 0.09, 41.19
borrico, 30, 0.09, 41.28
_of, 30, 0.09, 41.38
see, 29, 0.09, 41.47
not, 29, 0.09, 41.56
había, 29, 0.09, 41.65
one, 27, 0.09, 41.74
niña, 27, 0.09, 41.82
little, 27, 0.09, 41.91
juan, 27, 0.09, 41.99
him, 27, 0.09, 42.08
dos, 27, 0.09, 42.16
are, 27, 0.09, 42.25
_b_, 27, 0.09, 42.33
when, 26, 0.08, 42.42
viejo, 26, 0.08, 42.50
sol, 26, 0.08, 42.58
pueblo, 26, 0.08, 42.66
mi, 26, 0.08, 42.74
_ue_, 26, 0.08, 42.83
which, 25, 0.08, 42.91
son, 25, 0.08, 42.98
master, 25, 0.08, 43.06
go, 25, 0.08, 43.14
está, 25, 0.08, 43.22
entre, 25, 0.08, 43.30
vez, 24, 0.08, 43.38
there, 24, 0.08, 43.45
poeta, 24, 0.08, 43.53
palabras, 24, 0.08, 43.60
have, 24, 0.08, 43.68
¿por, 23, 0.07, 43.75
¡qué, 23, 0.07, 43.83
van, 23, 0.07, 43.90
use, 23, 0.07, 43.97
tú, 23, 0.07, 44.04
tiempo, 23, 0.07, 44.12
siguientes, 23, 0.07, 44.19
pan, 23, 0.07, 44.26
note, 23, 0.07, 44.33
niño, 23, 0.07, 44.41
from, 23, 0.07, 44.48
forma, 23, 0.07, 44.55
donkey, 23, 0.07, 44.63
canario, 23, 0.07, 44.70
this, 22, 0.07, 44.77
ni, 22, 0.07, 44.84
gitanos, 22, 0.07, 44.91
español:, 22, 0.07, 44.98
color, 22, 0.07, 45.05
children, 22, 0.07, 45.12
chapter, 22, 0.07, 45.18
casa, 22, 0.07, 45.25
verbo, 21, 0.07, 45.32
up, 21, 0.07, 45.39
tradúzcase, 21, 0.07, 45.45
después, 21, 0.07, 45.52
cada, 21, 0.07, 45.59
after, 21, 0.07, 45.65
uno, 20, 0.06, 45.72
traducciÓn, 20, 0.06, 45.78
tiene, 20, 0.06, 45.84
subjunctive, 20, 0.06, 45.91
pero, 20, 0.06, 45.97
pasar, 20, 0.06, 46.03
nos, 20, 0.06, 46.10
médico, 20, 0.06, 46.16
mano, 20, 0.06, 46.22
like, 20, 0.06, 46.28
¿dónde, 19, 0.06, 46.34
who, 19, 0.06, 46.40
tonto, 19, 0.06, 46.46
tarde, 19, 0.06, 46.52
ramón, 19, 0.06, 46.58
out, 19, 0.06, 46.64
igual, 19, 0.06, 46.71
here, 19, 0.06, 46.77
hace, 19, 0.06, 46.83
dónde, 19, 0.06, 46.89
calle, 19, 0.06, 46.95
agua, 19, 0.06, 47.01
_ie_, 19, 0.06, 47.07
_c_, 19, 0.06, 47.13
sustitúyanse, 18, 0.06, 47.18
muy, 18, 0.06, 47.24
ir, 18, 0.06, 47.30
va, 17, 0.05, 47.35
translate, 17, 0.05, 47.40
time, 17, 0.05, 47.46
sé, 17, 0.05, 47.51
les, 17, 0.05, 47.56
jardín, 17, 0.05, 47.62
iv, 17, 0.05, 47.67
hizo, 17, 0.05, 47.73
cabeza, 17, 0.05, 47.78
burro, 17, 0.05, 47.83
boca, 17, 0.05, 47.89
_a, 17, 0.05, 47.94
¿quién, 16, 0.05, 47.99
ya, 16, 0.05, 48.04
venir, 16, 0.05, 48.09
todos, 16, 0.05, 48.14
take, 16, 0.05, 48.19
siguientes:, 16, 0.05, 48.24
red, 16, 0.05, 48.29
puerta, 16, 0.05, 48.35
place, 16, 0.05, 48.40
irregular, 16, 0.05, 48.45
estaba, 16, 0.05, 48.50
esta, 16, 0.05, 48.55
carnaval, 16, 0.05, 48.60
bien, 16, 0.05, 48.65
adjetivos, 16, 0.05, 48.70
tierra, 15, 0.05, 48.75
small, 15, 0.05, 48.79
siempre, 15, 0.05, 48.84
redacciÓn, 15, 0.05, 48.89
pobre, 15, 0.05, 48.94
old, 15, 0.05, 48.98
ojos, 15, 0.05, 49.03
nadie, 15, 0.05, 49.08
irregulares, 15, 0.05, 49.13
hombres, 15, 0.05, 49.17
español, 15, 0.05, 49.22
campo, 15, 0.05, 49.27
but, 15, 0.05, 49.32
alma, 15, 0.05, 49.36
word, 14, 0.04, 49.41
some, 14, 0.04, 49.45
s, 14, 0.04, 49.50
refers, 14, 0.04, 49.54
otro, 14, 0.04, 49.58
nosotros, 14, 0.04, 49.63
moguer, 14, 0.04, 49.67
hacía, 14, 0.04, 49.72
fué, 14, 0.04, 49.76
form, 14, 0.04, 49.81
fin, 14, 0.04, 49.85
debida, 14, 0.04, 49.89
_or_, 14, 0.04, 49.94
you, 13, 0.04, 49.98
voz, 13, 0.04, 50.02
usando, 13, 0.04, 50.06
tres, 13, 0.04, 50.10
pronto, 13, 0.04, 50.14
present, 13, 0.04, 50.18
mismo, 13, 0.04, 50.23
miedo, 13, 0.04, 50.27
mañana, 13, 0.04, 50.31
may, 13, 0.04, 50.35
make, 13, 0.04, 50.39
hasta, 13, 0.04, 50.43
hacia, 13, 0.04, 50.47
grande, 13, 0.04, 50.51
dinero, 13, 0.04, 50.55
desde, 13, 0.04, 50.60
decir, 13, 0.04, 50.64
cual, 13, 0.04, 50.68
cielo, 13, 0.04, 50.72
chiquillos, 13, 0.04, 50.76
blanco, 13, 0.04, 50.80
blanca, 13, 0.04, 50.84
antes, 13, 0.04, 50.88
_adv_, 13, 0.04, 50.92
vestido, 12, 0.04, 50.96
very, 12, 0.04, 51.00
ventana, 12, 0.04, 51.04
them, 12, 0.04, 51.08
tener, 12, 0.04, 51.11
sí, 12, 0.04, 51.15
sello, 12, 0.04, 51.19
sarito, 12, 0.04, 51.23
puro, 12, 0.04, 51.27
pronoun, 12, 0.04, 51.30
pronombres, 12, 0.04, 51.34
primavera, 12, 0.04, 51.38
poco, 12, 0.04, 51.42
pobres, 12, 0.04, 51.46
original, 12, 0.04, 51.49
object, 12, 0.04, 51.53
noche, 12, 0.04, 51.57
mí, 12, 0.04, 51.61
mujeres, 12, 0.04, 51.65
mucho, 12, 0.04, 51.68
luego, 12, 0.04, 51.72
know, 12, 0.04, 51.76
infinitivos, 12, 0.04, 51.80
indicativo:, 12, 0.04, 51.83
had, 12, 0.04, 51.87
ellas, 12, 0.04, 51.91
día, 12, 0.04, 51.95
diana, 12, 0.04, 51.99
come, 12, 0.04, 52.02
cambios, 12, 0.04, 52.06
burros, 12, 0.04, 52.10
before, 12, 0.04, 52.14
arriba, 12, 0.04, 52.18
aljibe, 12, 0.04, 52.21
algo, 12, 0.04, 52.25
ahora, 12, 0.04, 52.29
_haber_, 12, 0.04, 52.33
¿de, 11, 0.03, 52.36
ves, 11, 0.03, 52.40
usos, 11, 0.03, 52.43
toros, 11, 0.03, 52.47
todas, 11, 0.03, 52.50
te, 11, 0.03, 52.54
tan, 11, 0.03, 52.57
según, 11, 0.03, 52.61
rayas, 11, 0.03, 52.64
quiere, 11, 0.03, 52.68
poor, 11, 0.03, 52.71
personal, 11, 0.03, 52.75
person, 11, 0.03, 52.78
nunca, 11, 0.03, 52.81
noun, 11, 0.03, 52.85
name, 11, 0.03, 52.88
nada, 11, 0.03, 52.92
manos, 11, 0.03, 52.95
man, 11, 0.03, 52.99
luna, 11, 0.03, 53.02
infinitivo, 11, 0.03, 53.06
infinitive, 11, 0.03, 53.09
frequently, 11, 0.03, 53.13
estar, 11, 0.03, 53.16
english, 11, 0.03, 53.20
day, 11, 0.03, 53.23
cuadra, 11, 0.03, 53.27
corrida, 11, 0.03, 53.30
composición, 11, 0.03, 53.34
caballos, 11, 0.03, 53.37
bull, 11, 0.03, 53.41
arroyo, 11, 0.03, 53.44
almirante, 11, 0.03, 53.48
_platero, 11, 0.03, 53.51
¿verdad, 10, 0.03, 53.54
¿para, 10, 0.03, 53.57
vistas, 10, 0.03, 53.60
viento, 10, 0.03, 53.64
viejas, 10, 0.03, 53.67
verde, 10, 0.03, 53.70
vamos, 10, 0.03, 53.73
uso, 10, 0.03, 53.76
unos, 10, 0.03, 53.79
triste, 10, 0.03, 53.83
tras, 10, 0.03, 53.86
town, 10, 0.03, 53.89
three, 10, 0.03, 53.92
también, 10, 0.03, 53.95
subjuntivo, 10, 0.03, 53.98
reyes, 10, 0.03, 54.02
que_, 10, 0.03, 54.05
pretérito, 10, 0.03, 54.08
poesía, 10, 0.03, 54.11
plateros, 10, 0.03, 54.14
platero_, 10, 0.03, 54.17
plata, 10, 0.03, 54.21
pasado, 10, 0.03, 54.24
muerto, 10, 0.03, 54.27
men, 10, 0.03, 54.30
illustration, 10, 0.03, 54.33
express, 10, 0.03, 54.36
even, 10, 0.03, 54.39
ella, 10, 0.03, 54.43
dar, 10, 0.03, 54.46
cómo, 10, 0.03, 54.49
cuerpo, 10, 0.03, 54.52
caballo, 10, 0.03, 54.55
back, 10, 0.03, 54.58
article, 10, 0.03, 54.62
allí, 10, 0.03, 54.65
adjective, 10, 0.03, 54.68
abajo, 10, 0.03, 54.71
_ver_, 10, 0.03, 54.74
_ser_, 10, 0.03, 54.77
¿en, 9, 0.03, 54.80
yo_, 9, 0.03, 54.83
were, 9, 0.03, 54.86
vida, 9, 0.03, 54.89
veces, 9, 0.03, 54.92
tree, 9, 0.03, 54.94
toda, 9, 0.03, 54.97
tiempos, 9, 0.03, 55.00
tanto, 9, 0.03, 55.03
suggest, 9, 0.03, 55.06
sueño, 9, 0.03, 55.09
ser, 9, 0.03, 55.12
sanguijuela, 9, 0.03, 55.14
room, 9, 0.03, 55.17
presente, 9, 0.03, 55.20
parece, 9, 0.03, 55.23
negro, 9, 0.03, 55.26
must, 9, 0.03, 55.29
look, 9, 0.03, 55.31
loco, 9, 0.03, 55.34
light, 9, 0.03, 55.37
kind, 9, 0.03, 55.40
jiménez, 9, 0.03, 55.43
invierno, 9, 0.03, 55.46
into, 9, 0.03, 55.49
interest, 9, 0.03, 55.51
indicativo, 9, 0.03, 55.54
hora, 9, 0.03, 55.57
garden, 9, 0.03, 55.60
fondo, 9, 0.03, 55.63
flores, 9, 0.03, 55.66
española, 9, 0.03, 55.68
don, 9, 0.03, 55.71
corazón, 9, 0.03, 55.74
comer, 9, 0.03, 55.77
carretilla, 9, 0.03, 55.80
b, 9, 0.03, 55.83
aún, 9, 0.03, 55.86
away, 9, 0.03, 55.88
amarillo, 9, 0.03, 55.91
allá, 9, 0.03, 55.94
alegre, 9, 0.03, 55.97
alba, 9, 0.03, 56.00
about, 9, 0.03, 56.03
_the, 9, 0.03, 56.05
_i_, 9, 0.03, 56.08
¿, 8, 0.03, 56.11
window, 8, 0.03, 56.13
what, 8, 0.03, 56.16
well, 8, 0.03, 56.18
we, 8, 0.03, 56.21
visto, 8, 0.03, 56.23
ven, 8, 0.03, 56.26
unas, 8, 0.03, 56.28
two, 8, 0.03, 56.31
torno, 8, 0.03, 56.34
todavía, 8, 0.03, 56.36
think, 8, 0.03, 56.39
sufren, 8, 0.03, 56.41
suelo, 8, 0.03, 56.44
sound, 8, 0.03, 56.46
so, 8, 0.03, 56.49
silencio, 8, 0.03, 56.51
siguen:, 8, 0.03, 56.54
sevilla, 8, 0.03, 56.56
sentence, 8, 0.03, 56.59
rosas, 8, 0.03, 56.61
right, 8, 0.03, 56.64
quiénes, 8, 0.03, 56.66
podía, 8, 0.03, 56.69
plaza, 8, 0.03, 56.71
persons, 8, 0.03, 56.74
perra, 8, 0.03, 56.77
pedir, 8, 0.03, 56.79
patio, 8, 0.03, 56.82
oír, 8, 0.03, 56.84
nombre, 8, 0.03, 56.87
near, 8, 0.03, 56.89
muerte, 8, 0.03, 56.92
modismos, 8, 0.03, 56.94
mis, 8, 0.03, 56.97
mirar, 8, 0.03, 56.99
menos, 8, 0.03, 57.02
many, 8, 0.03, 57.04
mal, 8, 0.03, 57.07
llamaba, 8, 0.03, 57.09
libro, 8, 0.03, 57.12
jaula, 8, 0.03, 57.14
if, 8, 0.03, 57.17
iba, 8, 0.03, 57.20
her, 8, 0.03, 57.22
hay, 8, 0.03, 57.25
has, 8, 0.03, 57.27
han, 8, 0.03, 57.30
hacer, 8, 0.03, 57.32
grow, 8, 0.03, 57.35
fire, 8, 0.03, 57.37
far, 8, 0.03, 57.40
fact, 8, 0.03, 57.42
están, 8, 0.03, 57.45
españa, 8, 0.03, 57.47
escríbanse, 8, 0.03, 57.50
escritorio, 8, 0.03, 57.52
down, 8, 0.03, 57.55
donde, 8, 0.03, 57.57
delante, 8, 0.03, 57.60
dative, 8, 0.03, 57.63
cuanto, 8, 0.03, 57.65
corona, 8, 0.03, 57.68
clear, 8, 0.03, 57.70
cantar, 8, 0.03, 57.73
canary, 8, 0.03, 57.75
camino, 8, 0.03, 57.78
because, 8, 0.03, 57.80
bajo, 8, 0.03, 57.83
azul, 8, 0.03, 57.85
around, 8, 0.03, 57.88
aquí, 8, 0.03, 57.90
any, 8, 0.03, 57.93
amor, 8, 0.03, 57.95
among, 8, 0.03, 57.98
also, 8, 0.03, 58.00
all, 8, 0.03, 58.03
alegría, 8, 0.03, 58.05
_f_, 8, 0.03, 58.08
_como, 8, 0.03, 58.11
¿cuándo, 7, 0.02, 58.13
¡el, 7, 0.02, 58.15
young, 7, 0.02, 58.17
wise, 7, 0.02, 58.19
will, 7, 0.02, 58.22
vió, 7, 0.02, 58.24
vino, 7, 0.02, 58.26
viene, 7, 0.02, 58.28
verb, 7, 0.02, 58.30
ud, 7, 0.02, 58.33
trote, 7, 0.02, 58.35
tienen, 7, 0.02, 58.37
suave, 7, 0.02, 58.39
street, 7, 0.02, 58.42
sangre, 7, 0.02, 58.44
río, 7, 0.02, 58.46
roof, 7, 0.02, 58.48
reloj, 7, 0.02, 58.50
pájaro, 7, 0.02, 58.53
premio, 7, 0.02, 58.55
porque, 7, 0.02, 58.57
popular, 7, 0.02, 58.59
