word, count, percent, cum
de, 4015, 4.86, 4.86
la, 2948, 3.57, 8.43
que, 2900, 3.51, 11.94
y, 2588, 3.13, 15.08
a, 1882, 2.28, 17.36
en, 1635, 1.98, 19.34
el, 1617, 1.96, 21.29
no, 1508, 1.83, 23.12
se, 1140, 1.38, 24.50
su, 970, 1.17, 25.68
con, 957, 1.16, 26.83
un, 858, 1.04, 27.87
los, 741, 0.90, 28.77
las, 724, 0.88, 29.65
lo, 689, 0.83, 30.48
por, 670, 0.81, 31.29
me, 613, 0.74, 32.03
le, 568, 0.69, 32.72
una, 553, 0.67, 33.39
para, 522, 0.63, 34.02
al, 506, 0.61, 34.64
del, 494, 0.60, 35.24
más, 467, 0.57, 35.80
como, 450, 0.54, 36.35
es, 432, 0.52, 36.87
te, 401, 0.49, 37.35
si, 392, 0.47, 37.83
pero, 321, 0.39, 38.22
era, 321, 0.39, 38.61
tan, 297, 0.36, 38.97
yo, 286, 0.35, 39.31
había, 278, 0.34, 39.65
ella, 259, 0.31, 39.96
sus, 245, 0.30, 40.26
usted, 241, 0.29, 40.55
cuando, 237, 0.29, 40.84
todo, 234, 0.28, 41.12
casa, 234, 0.28, 41.40
sin, 227, 0.27, 41.68
amparo, 220, 0.27, 41.95
muy, 215, 0.26, 42.21
ya, 206, 0.25, 42.46
o, 198, 0.24, 42.70
aquel, 193, 0.23, 42.93
mi, 192, 0.23, 43.16
bien, 189, 0.23, 43.39
qué, 182, 0.22, 43.61
ni, 171, 0.21, 43.82
esta, 167, 0.20, 44.02
él, 156, 0.19, 44.21
ha, 156, 0.19, 44.40
esto, 152, 0.18, 44.58
sí, 144, 0.17, 44.76
porque, 140, 0.17, 44.93
este, 139, 0.17, 45.09
bringas, 136, 0.16, 45.26
agustín, 135, 0.16, 45.42
dos, 134, 0.16, 45.58
nada, 132, 0.16, 45.74
rosalía, 130, 0.16, 45.90
ser, 129, 0.16, 46.06
día, 129, 0.16, 46.21
caballero, 129, 0.16, 46.37
sobre, 128, 0.15, 46.53
estaba, 124, 0.15, 46.68
hombre, 122, 0.15, 46.82
aquella, 120, 0.15, 46.97
tú, 119, 0.14, 47.11
tenía, 116, 0.14, 47.25
d, 116, 0.14, 47.39
poco, 115, 0.14, 47.53
he, 111, 0.13, 47.67
otra, 107, 0.13, 47.80
después, 105, 0.13, 47.92
hay, 104, 0.13, 48.05
pues, 103, 0.12, 48.18
otro, 103, 0.12, 48.30
vida, 102, 0.12, 48.42
está, 102, 0.12, 48.55
tu, 100, 0.12, 48.67
aquí, 98, 0.12, 48.79
tiempo, 97, 0.12, 48.90
dios, 97, 0.12, 49.02
hacer, 96, 0.12, 49.14
también, 95, 0.12, 49.25
ver, 94, 0.11, 49.37
dijo, 94, 0.11, 49.48
cosas, 94, 0.11, 49.59
vez, 91, 0.11, 49.70
toda, 89, 0.11, 49.81
señora, 88, 0.11, 49.92
fue, 87, 0.11, 50.02
ahora, 87, 0.11, 50.13
decir, 86, 0.10, 50.23
ojos, 85, 0.10, 50.34
parece, 84, 0.10, 50.44
mucho, 84, 0.10, 50.54
tal, 83, 0.10, 50.64
cosa, 82, 0.10, 50.74
hasta, 80, 0.10, 50.84
mí, 79, 0.10, 50.93
mismo, 79, 0.10, 51.03
cual, 78, 0.09, 51.12
nos, 77, 0.09, 51.22
mejor, 77, 0.09, 51.31
¡qué, 76, 0.09, 51.40
tanto, 75, 0.09, 51.49
noche, 75, 0.09, 51.58
siempre, 74, 0.09, 51.67
antes, 73, 0.09, 51.76
¿qué, 72, 0.09, 51.85
puerta, 72, 0.09, 51.94
mano, 69, 0.08, 52.02
mal, 69, 0.08, 52.10
donde, 68, 0.08, 52.18
así, 68, 0.08, 52.27
luego, 67, 0.08, 52.35
eso, 66, 0.08, 52.43
allí, 66, 0.08, 52.51
polo, 65, 0.08, 52.59
mujer, 65, 0.08, 52.67
ir, 65, 0.08, 52.74
alma, 65, 0.08, 52.82
todos, 64, 0.08, 52.90
tiene, 64, 0.08, 52.98
iba, 64, 0.08, 53.06
estas, 64, 0.08, 53.13
veces, 63, 0.08, 53.21
son, 62, 0.08, 53.28
entre, 62, 0.08, 53.36
algo, 62, 0.08, 53.43
tengo, 61, 0.07, 53.51
días, 61, 0.07, 53.58
podía, 60, 0.07, 53.65
cabeza, 60, 0.07, 53.73
tres, 59, 0.07, 53.80
tarde, 59, 0.07, 53.87
quien, 58, 0.07, 53.94
fuera, 58, 0.07, 54.01
esa, 58, 0.07, 54.08
señor, 57, 0.07, 54.15
misma, 57, 0.07, 54.22
calle, 57, 0.07, 54.29
pobre, 56, 0.07, 54.36
palabras, 56, 0.07, 54.42
hermana, 55, 0.07, 54.49
mundo, 54, 0.07, 54.56
has, 54, 0.07, 54.62
grande, 54, 0.07, 54.69
doña, 54, 0.07, 54.75
verdad, 53, 0.06, 54.82
nones, 53, 0.06, 54.88
sé, 52, 0.06, 54.94
sino, 52, 0.06, 55.01
hace, 52, 0.06, 55.07
cada, 52, 0.06, 55.13
buena, 52, 0.06, 55.19
uno, 51, 0.06, 55.26
soy, 51, 0.06, 55.32
parecía, 51, 0.06, 55.38
digo, 51, 0.06, 55.44
buen, 51, 0.06, 55.50
va, 50, 0.06, 55.56
puede, 50, 0.06, 55.62
menos, 50, 0.06, 55.69
gran, 50, 0.06, 55.75
eran, 50, 0.06, 55.81
desde, 50, 0.06, 55.87
voy, 49, 0.06, 55.93
parte, 49, 0.06, 55.99
idea, 49, 0.06, 56.04
dentro, 49, 0.06, 56.10
dar, 49, 0.06, 56.16
quiero, 48, 0.06, 56.22
mañana, 48, 0.06, 56.28
hecho, 48, 0.06, 56.34
francisco, 48, 0.06, 56.40
fin, 48, 0.06, 56.45
aunque, 48, 0.06, 56.51
tener, 47, 0.06, 56.57
familia, 47, 0.06, 56.63
ese, 47, 0.06, 56.68
salir, 46, 0.06, 56.74
pronto, 46, 0.06, 56.79
dicho, 46, 0.06, 56.85
sabía, 45, 0.05, 56.90
primo, 45, 0.05, 56.96
otras, 45, 0.05, 57.01
manos, 45, 0.05, 57.07
estoy, 45, 0.05, 57.12
cómo, 45, 0.05, 57.18
cuarto, 45, 0.05, 57.23
tormento, 44, 0.05, 57.28
tienes, 44, 0.05, 57.34
años, 44, 0.05, 57.39
amigo, 44, 0.05, 57.44
todas, 43, 0.05, 57.50
persona, 43, 0.05, 57.55
ido, 43, 0.05, 57.60
han, 43, 0.05, 57.65
¿no, 42, 0.05, 57.70
sala, 42, 0.05, 57.75
estos, 42, 0.05, 57.81
vio, 41, 0.05, 57.86
